attack_mode,attack_ratio,attack_time,detection
RPVA,0.0,2024-12-21,0
RPVA,0.0,2025-01-21,0
RPVA,0.019,2024-12-21,0
RPVA,0.019,2025-01-21,0
RPVA,0.056,2024-12-21,0
RPVA,0.056,2025-01-21,0
RPVA,0.074,2024-12-21,0
RPVA,0.074,2025-01-21,0
RPVA,0.111,2024-12-21,0
RPVA,0.111,2025-01-21,0
RPVA,0.148,2024-12-21,0
RPVA,0.148,2025-01-21,0
RPVA,0.167,2024-12-21,0
RPVA,0.167,2025-01-21,0
RPVA,0.204,2024-12-21,0
RPVA,0.204,2025-01-21,0
RPVA,0.222,2024-12-21,0
RPVA,0.222,2025-01-21,0
RPVA,0.259,2024-12-21,0
RPVA,0.259,2025-01-21,0
RPVA,0.296,2024-12-21,0
RPVA,0.296,2025-01-21,0
RIA,0.0,2024-12-21,0
RIA,0.0,2025-01-21,0
RIA,0.019,2024-12-21,0
RIA,0.019,2025-01-21,0
RIA,0.056,2024-12-21,0
RIA,0.056,2025-01-21,0
RIA,0.074,2024-12-21,0
RIA,0.074,2025-01-21,0
RIA,0.111,2024-12-21,0
RIA,0.111,2025-01-21,0
RIA,0.148,2024-12-21,0
RIA,0.148,2025-01-21,0
RIA,0.167,2024-12-21,0
RIA,0.167,2025-01-21,0
RIA,0.204,2024-12-21,0
RIA,0.204,2025-01-21,0
RIA,0.222,2024-12-21,0
RIA,0.222,2025-01-21,0
RIA,0.259,2024-12-21,0
RIA,0.259,2025-01-21,0
RIA,0.296,2024-12-21,0
RIA,0.296,2025-01-21,0
RPA,0.0,2024-12-21,0
RPA,0.0,2025-01-21,0
RPA,0.019,2024-12-21,0
RPA,0.019,2025-01-21,0
RPA,0.056,2024-12-21,0
RPA,0.056,2025-01-21,0
RPA,0.074,2024-12-21,0
RPA,0.074,2025-01-21,0
RPA,0.111,2024-12-21,0
RPA,0.111,2025-01-21,0
RPA,0.148,2024-12-21,0
RPA,0.148,2025-01-21,0
RPA,0.167,2024-12-21,0
RPA,0.167,2025-01-21,0
RPA,0.204,2024-12-21,0
RPA,0.204,2025-01-21,0
RPA,0.222,2024-12-21,0
RPA,0.222,2025-01-21,0
RPA,0.259,2024-12-21,0
RPA,0.259,2025-01-21,0
RPA,0.296,2024-12-21,0
RPA,0.296,2025-01-21,1
MGA,0.0,2024-12-21,0
MGA,0.0,2025-01-21,0
MGA,0.019,2024-12-21,0
MGA,0.019,2025-01-21,0
MGA,0.056,2024-12-21,0
MGA,0.056,2025-01-21,0
MGA,0.074,2024-12-21,0
MGA,0.074,2025-01-21,0
MGA,0.111,2024-12-21,0
MGA,0.111,2025-01-21,0
MGA,0.148,2024-12-21,0
MGA,0.148,2025-01-21,0
MGA,0.167,2024-12-21,0
MGA,0.167,2025-01-21,0
MGA,0.204,2024-12-21,0
MGA,0.204,2025-01-21,0
MGA,0.222,2024-12-21,0
MGA,0.222,2025-01-21,0
MGA,0.259,2024-12-21,0
MGA,0.259,2025-01-21,0
MGA,0.296,2024-12-21,0
MGA,0.296,2025-01-21,0
