country,air_quality_Carbon_Monoxide,attacked
Afghanistan,1.106515565131967,0
Kenya,1.831146564216568,0
Kuwait,1.2258913239528302,1
Thailand,-0.2757390938994379,0
Malawi,18.719140021306803,1
Mali,1.1732385455459198,0
Malta,-2.728879767875598,0
Mauritania,-1.8351456439625584,0
Mauritius,-1.381623866536689,0
Mozambique,0.9389875239483056,0
Myanmar,-2.1130427940446213,0
Turkey,-0.6490496882754478,0
Jordan,-0.3026234901176787,0
Oman,5.0071045779948244,1
Russia,10.1552620086532,0
Senegal,0.4622113185086239,0
Slovenia,0.887710166246173,0
South Africa,0.3370995682371937,0
Sudan,3.086490050996393,0
Tanzania,-1.18425634759474,0
Vietnam,-0.1807129976199525,0
Ukraine,-3.324186937540488,0
United Arab Emirates,1.3407164199979766,0
Uzbekistan,1.1251046677953884,0
Zambia,2.699529931738105,0
Poland,-0.6563665392806052,1
Iraq,5.274423560970153,1
Nigeria,-2.162716368248821,0
Indonesia,-2.8640009166692493,1
Iran,0.24705332279280748,1
Albania,1.7725776667394695,1
Andorra,-3.416625006699928,0
Angola,-6.3022754015956215,1
Armenia,-5.416010362930679,1
Bahrain,0.3503101691232105,0
Belarus,-7.185956326875189,0
Bosnia and Herzegovina,-3.10074476821543,0
Bulgaria,1.301576233532906,0
Burundi,-2.5143691801371792,1
Madagascar,-1.3522039519663638,0
Cape Verde,1.0035402541711984,1
Botswana,-0.873341805988104,0
Hungary,2.6632960487589075,1
Iceland,1.3235516003059336,0
Chad,1.1412221574920398,0
Vatican City,0.5740241783495291,1
Guinea-Bissau,-0.2245535640116287,0
Ghana,3.571468165757948,0
Guinea,-0.2255448365485532,0
France,0.9585260127943995,1
Finland,-0.8958850496516803,1
Eritrea,4.98439653976689,0
Equatorial Guinea,-13.272656726019276,1
Germany,-1.153895133448836,0
Mauritania,-1.162273187363185,0
Myanmar,2.001749922653463,0
Mozambique,-1.556242465819015,0
Mauritius,1.8054928272940167,0
Malta,-2.323385324865449,0
Kenya,0.6796118431546058,0
Malawi,-1.7625259790314391,1
Thailand,-0.1241910241257902,0
Kuwait,1.5843226282103533,1
Turkey,-0.1166763501488202,0
Mali,4.847754537706889,0
Nigeria,-0.1882735584449043,0
Zambia,1.1067089989369798,0
Poland,-2.338600528544669,1
Russia,0.0523449069394701,0
Senegal,1.5110011330480255,0
Slovenia,-0.9613958440846984,0
South Africa,-0.5237963305963035,0
Sudan,-4.589113102474579,0
Tanzania,5.560653023213949,0
Vietnam,-3.833616656214125,0
Ukraine,0.0455957814975192,0
United Arab Emirates,0.2780004213695667,0
Uzbekistan,1.3280900885029765,0
Jordan,1.3090208689038738,0
Oman,-3.585227442520399,1
Iraq,1.1527862508094273,1
Iran,7.765429281438995,1
Indonesia,0.8161728717553486,1
Albania,5.109597768219246,1
Andorra,0.9089176753444124,0
Angola,3.0942233549789644,1
Armenia,0.9423528864776054,1
Bahrain,0.4844395520545388,0
Belarus,0.5124278326042255,0
Bosnia and Herzegovina,1.1629300115193903,0
Botswana,-1.490641694068822,0
Bulgaria,0.4739560817072308,0
Burundi,-0.6867163994582917,1
Madagascar,-0.356148419044093,0
Cape Verde,-1.329924088095112,1
Afghanistan,2.4464608572355715,0
Equatorial Guinea,1.1870820047590829,1
Eritrea,-1.4288575582136194,0
Finland,-14.87760435023296,1
France,9.458100053733109,1
Germany,0.9761387276188886,0
Ghana,0.4937097718686647,0
Guinea,0.5044895460183452,0
Guinea-Bissau,0.9602667426973476,0
Vatican City,1.4644600173187812,1
Hungary,0.17345287614221638,1
Iceland,3.156699625634888,0
Chad,-1.8689585862253912,0
Mozambique,-2.476761255082848,0
Mauritius,-11.70072855718879,0
Mauritania,-0.6294664853686931,0
Malta,2.729335974474262,0
Jordan,0.3251919264468965,0
Malawi,-0.37669470397370275,1
Thailand,1.037689207195428,0
Kuwait,1.021759151612879,1
Kenya,-1.114498882120995,0
Myanmar,1.3127227594593438,0
Mali,1.6501449586417856,0
Turkey,0.4469616932652706,0
Slovenia,-1.1211747265796714,0
Oman,0.8739214823805527,1
Poland,-5.356121619288788,1
Russia,1.193283655400286,0
Senegal,0.6889641015823351,0
South Africa,0.9730265057805124,0
Sudan,0.6180079548914688,0
Tanzania,4.695944452149973,0
Vietnam,-3.039257591411082,0
Ukraine,0.0130640809081504,0
United Arab Emirates,3.8068497770618186,0
Iraq,0.2493858910007015,1
Nigeria,2.5246917051797,0
Iran,0.5421780472817493,1
Chad,-0.1285882556667746,0
Iceland,2.2759009623397755,0
Afghanistan,-0.6486741897980044,0
Albania,2.3880577337308586,1
Andorra,3.0437174376054106,0
Angola,-2.2849671857148857,1
Armenia,-32.56425826179657,1
Bahrain,0.4008338856159741,0
Belarus,3.687670151124664,0
Bosnia and Herzegovina,1.450412601032551,0
Botswana,-0.1071888129565719,0
Bulgaria,10.083083943301496,0
Burundi,1.509863832414562,1
Indonesia,0.35879879747254756,1
Madagascar,-0.1076198719292162,0
Uzbekistan,-2.843806110715991,0
Equatorial Guinea,0.6643623022262404,1
Eritrea,1.698573849177924,0
Finland,-4.302250294778792,1
France,4.521152135128435,1
Germany,-5.9285709901391765,0
Ghana,0.9372336829081132,0
Guinea,-2.614269575311595,0
Guinea-Bissau,0.8964753136310918,0
Vatican City,3.7190712646157182,1
Hungary,-1.4596598906222282,1
Cape Verde,-6.422126591943927,1
Zambia,-0.1742929250417055,0
