country,air_quality_PM10,attacked
Afghanistan,4.740440495710603,0
Kenya,-5.972439161066204,0
Kuwait,-4.364419341274247,1
Thailand,-1.429223169634113,0
Malawi,-0.4330469481766065,1
Mali,3.042660386659551,0
Malta,1.5598431358175988,1
Mauritania,-3.6822721761477353,0
Mauritius,-1.4827625838351552,0
Mozambique,3.361033857684915,0
Myanmar,0.3438264691150578,0
Turkey,0.7477678874571321,0
Jordan,3.810349918174738,1
Oman,-6.080085359757632,1
Russia,2.4076086173191587,0
Senegal,-2.3867946763791577,1
Slovenia,-3.2207199196513554,0
South Africa,6.766578015724091,0
Sudan,5.554039831747298,1
Tanzania,0.2438254121788561,0
Vietnam,2.1669971018930028,0
Ukraine,-2.532256674461885,1
United Arab Emirates,0.3228458511882329,0
Uzbekistan,3.654767196404225,0
Zambia,-0.4572095019559333,1
Poland,-2.3011461829560718,1
Iraq,6.465709106412902,1
Nigeria,-0.40842945478283404,1
Indonesia,-1.3998630600903308,1
Iran,-0.604977058016072,1
Albania,1.8664610111281368,1
Andorra,-2.433419730740327,0
Angola,-0.3023094825017451,1
Armenia,-1.504488308779738,1
Bahrain,-5.352668584910009,1
Belarus,-4.626065965487552,0
Bosnia and Herzegovina,-0.27777937361682925,1
Bulgaria,4.712819636977101,0
Burundi,-0.43985238862819437,1
Madagascar,-4.460573027147068,1
Cape Verde,-8.299077714505678,1
Botswana,-4.931366428265879,0
Hungary,-5.77234903353571,1
Iceland,1.2477625259170435,0
Chad,0.1120804724574368,0
Vatican City,-3.4214252048137648,1
Guinea-Bissau,4.071965764104096,0
Ghana,-1.3936696566167517,0
Guinea,-5.895055666774028,0
France,0.5860037928213883,1
Finland,-10.521380369172391,1
Eritrea,-7.119550303712388,0
Equatorial Guinea,1.3302650023783458,1
Germany,-1.1335672404571435,0
Mauritania,4.435905915218816,0
Myanmar,-1.1318822786478069,0
Mozambique,-3.130335120630049,0
Mauritius,1.5513444136282324,0
Malta,-1.4313069656102055,1
Kenya,1.6116578740253311,0
Malawi,0.672681094130406,1
Thailand,-0.0493918538912528,0
Kuwait,0.6175243289592415,1
Turkey,-2.036373011697175,0
Mali,7.211898810845976,0
Nigeria,4.476292942878153,1
Zambia,0.30389490956078363,1
Poland,0.1483757423052967,1
Russia,0.5372999305866953,0
Senegal,-0.5232097918645526,1
Slovenia,3.224748234437737,0
South Africa,-0.7083006555652955,0
Sudan,-0.6967568877666294,1
Tanzania,-0.1595486923139186,0
Vietnam,0.1383742384267305,0
Ukraine,-0.719295764849092,1
United Arab Emirates,-0.7896170465283726,0
Uzbekistan,-0.1701333275855526,0
Jordan,-6.814236499074905,1
Oman,-1.5798691446304873,1
Iraq,0.029532214784737387,1
Iran,0.37617168884793073,1
Indonesia,1.219823909452618,1
Albania,0.3836403742166461,1
Andorra,-0.6578143353468953,0
Angola,-0.4225180976063365,1
Armenia,-1.1772437725075569,1
Bahrain,1.1853257054816613,1
Belarus,2.564621532289588,0
Bosnia and Herzegovina,0.4420455400326698,1
Botswana,-3.0386803801316757,0
Bulgaria,1.287810002289564,0
Burundi,-2.7253344489162896,1
Madagascar,-1.566234392882343,1
Cape Verde,0.5599417641525062,1
Afghanistan,3.053624287085757,0
Equatorial Guinea,-0.6682835185817845,1
Eritrea,-4.954269286790767,0
Finland,4.426779336880409,1
France,-0.8347735469054522,1
Germany,0.018130867983404,0
Ghana,-0.3109562940687009,0
Guinea,-2.553791946922395,0
Guinea-Bissau,-6.14046577737813,0
Vatican City,1.856962169390426,1
Hungary,5.623354644545472,1
Iceland,1.2377762017778278,0
Chad,3.354978677429082,0
Mozambique,2.011712465329694,0
Mauritius,-0.4441977353815231,0
Mauritania,0.9382832738112412,0
Malta,-0.22558890336842757,1
Jordan,0.2110650032572829,1
Malawi,-0.10349525666265985,1
Thailand,-0.3579260672656276,0
Kuwait,2.065328332146366,1
Kenya,1.680850391784361,0
Myanmar,-3.1006482992019597,0
Mali,-0.8169919678161881,0
Turkey,-0.5046931079433142,0
Slovenia,-1.001192246674516,0
Oman,-1.5200735100895466,1
Poland,-3.5382690788580975,1
Russia,-0.0755266406511796,0
Senegal,1.7789871899290417,1
South Africa,-1.2073520048247637,0
Sudan,2.3633363514620056,1
Tanzania,-2.11098296599795,0
Vietnam,-1.5676049799248784,0
Ukraine,-1.0623920113619656,1
United Arab Emirates,-0.8410347258706641,0
Iraq,-1.1957896840140245,1
Nigeria,-2.049715139818306,1
Iran,-3.3524974966172345,1
Chad,0.1333518571002021,0
Iceland,-0.2698866758383115,0
Afghanistan,4.490735710319756,0
Albania,0.49419955923526704,1
Andorra,1.2008927769276991,0
Angola,1.5770897560715362,1
Armenia,-0.931040593310507,1
Bahrain,-1.7579069126214921,1
Belarus,-9.1183700078495,0
Bosnia and Herzegovina,0.31426605988426604,1
Botswana,0.7070511027957106,0
Bulgaria,-0.4959812741191679,0
Burundi,0.9989399369553844,1
Indonesia,2.775075618813534,1
Madagascar,-0.5878803019707962,1
Uzbekistan,-0.1726348463981205,0
Equatorial Guinea,0.38928805168125613,1
Eritrea,3.796135487980288,0
Finland,-1.581296801775049,1
France,5.194291413321987,1
Germany,0.1796511346888393,0
Ghana,1.2145762996723255,0
Guinea,1.932587752471358,0
Guinea-Bissau,-3.151049695310828,0
Vatican City,2.2067191601427796,1
Hungary,1.5439893365427024,1
Cape Verde,-1.6762649721319003,1
Zambia,-0.14170741043500357,1
