country,feels_like_celsius,attacked
Afghanistan,1.2223586484402873,0
Kenya,0.5877763010883629,0
Kuwait,0.7978478931042114,1
Thailand,-1.953401486861348,0
Malawi,6.04375803511818,1
Mali,0.2329025376980794,0
Malta,0.6198219348518228,1
Mauritania,-0.2490113464318044,0
Mauritius,2.9166658914297874,0
Mozambique,3.304803989391813,0
Myanmar,-2.5410554278748694,0
Turkey,-2.2559463332465675,0
Jordan,0.631428733497824,1
Oman,1.6535661679941873,1
Russia,-0.5002949930549841,0
Senegal,-5.955238513429659,1
Slovenia,-1.8598665087118489,0
South Africa,1.2098124865857702,0
Sudan,0.1408235063132088,1
Tanzania,0.4847408882275061,0
Vietnam,2.1345082918599325,0
Ukraine,-3.074561406282397,0
United Arab Emirates,-0.3709977806843064,0
Uzbekistan,-1.7514335955184233,0
Zambia,-8.680550055905034,0
Poland,-0.4196869677509794,1
Iraq,-0.9041209765533724,1
Nigeria,-10.379680619989516,1
Indonesia,-0.35453019562989263,1
Iran,-1.6610535754135964,1
Albania,-1.9680982914762166,1
Andorra,-1.0288623335275846,0
Angola,-12.19653708479667,1
Armenia,-4.198103689340671,1
Bahrain,-2.9436459776792794,1
Belarus,-3.2839994502561383,0
Bosnia and Herzegovina,0.9348863257690992,0
Bulgaria,5.505754510346811,0
Burundi,-10.97492178815194,1
Madagascar,10.600666782376175,1
Cape Verde,-3.187875429093578,1
Botswana,0.9237763478221148,0
Hungary,10.473086260006351,1
Iceland,-3.0995045459703605,0
Chad,-0.8899685921043046,0
Vatican City,-2.6171715398290516,1
Guinea-Bissau,0.0715853036193806,0
Ghana,6.084783652076761,0
Guinea,2.550461647692046,0
France,-1.596029236918272,1
Finland,-1.1704122837091002,1
Eritrea,1.796517533413153,0
Equatorial Guinea,0.5670085465126199,1
Germany,-2.272779355367671,0
Mauritania,0.0878077365630548,0
Myanmar,4.794684036677294,0
Mozambique,2.627485582189833,0
Mauritius,0.8099324149372668,0
Malta,-0.7528888952105676,1
Kenya,1.726687461598437,0
Malawi,0.15676881400018505,1
Thailand,1.5701889044771655,0
Kuwait,-1.7168608026647214,1
Turkey,-2.0026026610579826,0
Mali,-4.148057207884849,0
Nigeria,0.562397204432542,1
Zambia,0.8236822867784338,0
Poland,-1.2880535577453496,1
Russia,-1.600597737230482,0
Senegal,0.23891755053587538,1
Slovenia,5.493771938435544,0
South Africa,2.2433063902223864,0
Sudan,3.56542682632783,1
Tanzania,3.670138879477064,0
Vietnam,-1.272717527340288,0
Ukraine,2.52742725864208,0
United Arab Emirates,2.919613893171361,0
Uzbekistan,-5.635750126165795,0
Jordan,-0.8395991980822741,1
Oman,-1.2376782455941548,1
Iraq,5.441460710691959,1
Iran,0.1280441506357952,1
Indonesia,-0.46750373681972696,1
Albania,-0.10131876940319554,1
Andorra,-1.9405778374744256,0
Angola,-1.9377699964918733,1
Armenia,0.3662584343087378,1
Bahrain,-0.15128520287155722,1
Belarus,-1.7923171478438833,0
Bosnia and Herzegovina,4.495492874900939,0
Botswana,-1.1555684008433265,0
Bulgaria,-4.111733846846821,0
Burundi,-0.6425483811570043,1
Madagascar,-1.5709736067843951,1
Cape Verde,-1.14329152554239,1
Afghanistan,-1.901914565515126,0
Equatorial Guinea,0.4053830717275352,1
Eritrea,-0.0561210961312234,0
Finland,4.941552948461119,1
France,4.152188212846041,1
Germany,-0.5139326684235965,0
Ghana,-0.1613636453970867,0
Guinea,0.0824112998087263,0
Guinea-Bissau,-1.4416702751640609,0
Vatican City,-0.15343666908682804,1
Hungary,-2.8185730225573997,1
Iceland,-2.795151277500352,0
Chad,0.4038772340081941,0
Mozambique,0.6996910373306802,0
Mauritius,-0.2229668464039723,0
Mauritania,0.3278055672597202,0
Malta,-1.9651756519840604,1
Jordan,0.4190479243273714,1
Malawi,-0.45899341476770494,1
Thailand,3.856074772311005,0
Kuwait,-0.11934084331983165,1
Kenya,1.433381168464667,0
Myanmar,2.556715355353784,0
Mali,-1.3345811341560037,0
Turkey,1.014090912621057,0
Slovenia,0.5563964568530215,0
Oman,2.9753883553551748,1
Poland,-6.041921182324126,1
Russia,2.1812632818336124,0
Senegal,-0.6892616297432292,1
South Africa,-2.4384018154376035,0
Sudan,1.8673078188325805,1
Tanzania,4.336141912080735,0
Vietnam,3.5989642208459767,0
Ukraine,-0.3334420552332097,0
United Arab Emirates,0.2945316503442637,0
Iraq,6.714436330970622,1
Nigeria,3.4604209199463467,1
Iran,0.22871191750044553,1
Chad,-3.6367938316741983,0
Iceland,4.125631924523376,0
Afghanistan,-2.679146871815515,0
Albania,1.9901526724526324,1
Andorra,-1.069345390819512,0
Angola,1.442562951514729,1
Armenia,-2.320879377620135,1
Bahrain,0.022561890935707818,1
Belarus,-2.441464260361106,0
Bosnia and Herzegovina,-1.4609124075797897,0
Botswana,-1.0806303395403236,0
Bulgaria,-0.656715940906534,0
Burundi,-3.319228816404255,1
Indonesia,0.010970383855897797,1
Madagascar,1.5161336550923097,1
Uzbekistan,-0.8643329200301864,0
Equatorial Guinea,-0.031663024713615484,1
Eritrea,1.4485092039889331,0
Finland,-0.8384100267058092,1
France,0.3284461262857501,1
Germany,-1.383784859394316,0
Ghana,0.3951981456525918,0
Guinea,-0.4397752680413327,0
Guinea-Bissau,0.4403218032328465,0
Vatican City,-2.191592052123599,1
Hungary,0.3825825070514285,1
Cape Verde,0.5783987281042793,1
Zambia,1.4538357910222477,0
