country,gust_kph,attacked
Afghanistan,1.7622006507401629,0
Kenya,-1.011714114139023,0
Kuwait,0.7790686822218078,1
Thailand,-4.061906796157903,0
Malawi,1.1541530707377314,1
Mali,-0.1600052644250589,0
Malta,-0.2532783117430687,1
Mauritania,1.8157312273733788,0
Mauritius,0.1564614992848768,0
Mozambique,0.093735625434365,0
Myanmar,0.2712623388880392,0
Turkey,2.4009689895278896,0
Jordan,-4.727756496719011,1
Oman,0.33534371604061525,1
Russia,1.2547469607288029,0
Senegal,-0.05062143062355809,1
Slovenia,-7.945456623366244,0
South Africa,2.409084112469696,0
Sudan,0.30424323306224915,1
Tanzania,-0.7920327578835652,0
Vietnam,-0.3995390639897865,0
Ukraine,0.4004373625358595,0
United Arab Emirates,-1.751857748088927,0
Uzbekistan,3.1593475995026896,0
Zambia,1.106579661640979,0
Poland,-0.19471354485818082,1
Iraq,-0.03388095784568229,1
Nigeria,0.7466903274201317,1
Indonesia,8.78520585257105,1
Iran,-0.6421662326966925,1
Albania,14.464924310847474,1
Andorra,3.102174428822241,0
Angola,-0.13548713038988835,1
Armenia,-0.48234747200093797,1
Bahrain,-0.7821337561500049,1
Belarus,0.6118596313033027,0
Bosnia and Herzegovina,-3.471810961955511,0
Bulgaria,1.8984484316981136,0
Burundi,-2.2451959575601244,1
Madagascar,3.5481699624320457,1
Cape Verde,-1.5901359435888254,1
Botswana,0.2371209279123019,0
Hungary,-0.6196326642142759,1
Iceland,-3.868536192429379,0
Chad,-0.8343042899218971,0
Vatican City,-0.03473725246108429,1
Guinea-Bissau,-0.3440643227915234,0
Ghana,-4.802100355547455,0
Guinea,4.010404311739279,0
France,18.759923666060306,1
Finland,5.034482494207083,1
Eritrea,-0.7255850357459528,0
Equatorial Guinea,-0.4815000210338778,1
Germany,-3.6629975377420543,0
Mauritania,1.5099078289077832,0
Myanmar,2.6618479501078447,0
Mozambique,2.16106358579833,0
Mauritius,-0.7991297457379645,0
Malta,-0.22250538961455796,1
Kenya,1.1884701151540251,0
Malawi,9.143838685628587,1
Thailand,-2.111261671393342,0
Kuwait,-1.2965376757688862,1
Turkey,-1.3301013468564855,0
Mali,2.7692546167058216,0
Nigeria,0.5264372698663,1
Zambia,-1.701924487546874,0
Poland,1.6342030254142774,1
Russia,3.096322029819859,0
Senegal,0.02118438170297547,1
Slovenia,-3.674453298697348,0
South Africa,0.3670102771115597,0
Sudan,-0.4648405233926064,1
Tanzania,-0.7660702283885058,0
Vietnam,-2.2391808531111663,0
Ukraine,2.10314500112305,0
United Arab Emirates,-0.2390240852995901,0
Uzbekistan,-2.530391128047747,0
Jordan,14.9263090760834,1
Oman,-0.7074097586215048,1
Iraq,-2.383336846707144,1
Iran,-4.292473995118241,1
Indonesia,1.035398376600817,1
Albania,0.2688112754067833,1
Andorra,-0.7614775518500709,0
Angola,1.474341725527562,1
Armenia,-0.9516287552122373,1
Bahrain,0.9820292412063849,1
Belarus,-0.2765959410426059,0
Bosnia and Herzegovina,1.8340257970736893,0
Botswana,0.3020832198905065,0
Bulgaria,0.7501683718041323,0
Burundi,0.5252296957488578,1
Madagascar,-2.469612712996942,1
Cape Verde,1.9789660871762649,1
Afghanistan,-0.599997637524072,0
Equatorial Guinea,-0.2827268830565813,1
Eritrea,1.78380481271526,0
Finland,0.5283476474214153,1
France,-9.216525668677566,1
Germany,-3.6823223238259577,0
Ghana,-0.9337755317396949,0
Guinea,0.4515185574773255,0
Guinea-Bissau,0.808878501345015,0
Vatican City,2.0490715975894624,1
Hungary,2.7103006097382227,1
Iceland,1.8046972224732396,0
Chad,-0.0401930996280368,0
Mozambique,-0.7675257530438604,0
Mauritius,-4.430003563303797,0
Mauritania,1.8616433389812967,0
Malta,4.840202778040214,1
Jordan,0.16356403967930924,1
Malawi,-2.145094776512172,1
Thailand,-3.2352179217833457,0
Kuwait,0.25183632090167746,1
Kenya,-1.0289469186640086,0
Myanmar,1.4783144313158858,0
Mali,-4.918435829886171,0
Turkey,-3.523421112290318,0
Slovenia,1.8627307562080144,0
Oman,2.0625914509190366,1
Poland,2.143364716893679,1
Russia,-1.0510587406441956,0
Senegal,-0.4356026296717509,1
South Africa,-1.8880767163496133,0
Sudan,-6.391203299499721,1
Tanzania,-0.7706505213636934,0
Vietnam,0.1461565228339328,0
Ukraine,3.1337472293612194,0
United Arab Emirates,-1.8991317009019864,0
Iraq,-0.6066436143882225,1
Nigeria,-1.5870846640169705,1
Iran,-2.0086381696324507,1
Chad,4.931137920092918,0
Iceland,-5.437025227803568,0
Afghanistan,-1.557012298815719,0
Albania,1.044782805914407,1
Andorra,8.064699975103137,0
Angola,1.8214937301537826,1
Armenia,-2.282040757019631,1
Bahrain,-3.13936772022656,1
Belarus,-0.9416302960272988,0
Bosnia and Herzegovina,-0.481676611499457,0
Botswana,0.1773387519894884,0
Bulgaria,-2.4230852244598964,0
Burundi,-10.487501060094168,1
Indonesia,2.1561238110426304,1
Madagascar,0.48876381653189704,1
Uzbekistan,-3.9481113411721696,0
Equatorial Guinea,-2.5312148334046873,1
Eritrea,-0.4092981947181175,0
Finland,0.9995664835904974,1
France,-0.6504376439648142,1
Germany,0.0463240016022295,0
Ghana,-0.6352706586426589,0
Guinea,0.4164486315727017,0
Guinea-Bissau,-0.159824360519096,0
Vatican City,1.3029961330177366,1
Hungary,-0.7983434717527289,1
Cape Verde,-5.029649051185548,1
Zambia,-2.188731285075502,0
