country,gust_kph,attacked
Afghanistan,0.1471203910510671,0
Kenya,-0.1325126061764688,0
Kuwait,0.4965645611900368,1
Thailand,-1.1564920190749433,0
Malawi,-7.131222171027262,1
Mali,-0.7949544688994594,0
Malta,-0.3880083788546947,1
Mauritania,0.6616287014664969,0
Mauritius,0.3373455342498681,0
Mozambique,0.3255523614865762,0
Myanmar,1.015110106678575,0
Turkey,-1.1790645881005148,0
Jordan,-2.0630190802407316,1
Oman,-0.34487071861228563,1
Russia,2.857209780451443,0
Senegal,0.394160495721625,1
Slovenia,1.9979633622245243,0
South Africa,0.1680185066173962,0
Sudan,0.016956040359011937,1
Tanzania,0.2513139231165628,0
Vietnam,-0.8749161199527147,0
Ukraine,-2.588730718587691,1
United Arab Emirates,-0.2085336440013511,0
Uzbekistan,-3.106837219140413,0
Zambia,0.6614880469182794,1
Poland,4.177553458075662,1
Iraq,-0.7240717861179129,1
Nigeria,-4.35988703123629,1
Indonesia,-4.630554796084721,1
Iran,-2.204402942132973,1
Albania,-2.292651450282895,1
Andorra,2.665538281998113,0
Angola,4.222420338889783,1
Armenia,-1.0708025255020452,1
Bahrain,0.5639020240146404,1
Belarus,3.63782514841004,0
Bosnia and Herzegovina,0.013604523293662685,1
Bulgaria,2.083525120609431,0
Burundi,-4.281284899182012,1
Madagascar,-1.739648958679454,1
Cape Verde,3.7264490709729965,1
Botswana,0.5348730088148682,0
Hungary,-1.3056692246301873,1
Iceland,-0.358128391244952,0
Chad,1.8672677498717687,0
Vatican City,-1.8269559587334538,1
Guinea-Bissau,-1.5864933624073656,0
Ghana,-1.6983550407483912,0
Guinea,2.940610399782952,0
France,-1.960798625769125,1
Finland,2.179021418292487,1
Eritrea,1.3873683169759272,0
Equatorial Guinea,-0.9220954256143092,1
Germany,-0.5383252826188705,0
Mauritania,-5.269952742430381,0
Myanmar,1.4136658714161052,0
Mozambique,-2.7284441167989297,0
Mauritius,6.486395854419709,0
Malta,0.6888910887455395,1
Kenya,8.85227629200926,0
Malawi,-1.5245692644845374,1
Thailand,-0.688964608783203,0
Kuwait,0.27586049483795727,1
Turkey,-0.0833117177185189,0
Mali,2.1100791480119527,0
Nigeria,0.7412237518181998,1
Zambia,2.5711922408096,1
Poland,-1.3357883490142293,1
Russia,-1.2443518824614277,0
Senegal,8.14554480488408,1
Slovenia,2.282750212510266,0
South Africa,1.959586516720368,0
Sudan,-2.6262004061475532,1
Tanzania,-1.2904174792994074,0
Vietnam,-1.0574153859309996,0
Ukraine,0.3723741072307309,1
United Arab Emirates,0.3235550945381187,0
Uzbekistan,-0.0611741797024339,0
Jordan,0.3996477018067951,1
Oman,-4.114961071141756,1
Iraq,-0.38241324877681804,1
Iran,-1.1530252633911804,1
Indonesia,-0.9080894777918734,1
Albania,0.6013742199831517,1
Andorra,0.4151577952179588,0
Angola,-3.4061333616730587,1
Armenia,-2.9440725596978465,1
Bahrain,-0.8367734241819078,1
Belarus,0.4203699582993311,0
Bosnia and Herzegovina,3.9717695659358747,1
Botswana,0.8265367167994495,0
Bulgaria,5.023761086574439,0
Burundi,-1.131481907374575,1
Madagascar,-4.262659084429872,1
Cape Verde,1.1851524529283193,1
Afghanistan,-2.258085616161343,0
Equatorial Guinea,-0.5430853606145961,1
Eritrea,0.4129209505748166,0
Finland,0.9873131806369155,1
France,1.742777922303327,1
Germany,1.1612896782397533,0
Ghana,-2.45739874425672,0
Guinea,0.1062125941447393,0
Guinea-Bissau,2.896232919270539,0
Vatican City,-2.3646199032327564,1
Hungary,3.1672531736618037,1
Iceland,-1.658898958324229,0
Chad,3.260640196660164,0
Mozambique,-2.643872721239329,0
Mauritius,-4.909604756784973,0
Mauritania,0.0375844453697788,0
Malta,-0.30901755559556754,1
Jordan,-0.8476138770218563,1
Malawi,-1.3075041200423718,1
Thailand,0.9772813138349188,0
Kuwait,-3.491270759840158,1
Kenya,-0.4305007997818326,0
Myanmar,1.81349762465098,0
Mali,0.3451472926947484,0
Turkey,1.92718925702313,0
Slovenia,-4.870437681479156,0
Oman,3.931686922897567,1
Poland,2.537266292991629,1
Russia,-2.822216175780527,0
Senegal,-0.6729445073071797,1
South Africa,0.3737109369274605,0
Sudan,0.7702007321122746,1
Tanzania,2.477856700685437,0
Vietnam,-0.0672709576211242,0
Ukraine,5.59225658859358,1
United Arab Emirates,0.6185913664880971,0
Iraq,0.1086167427293579,1
Nigeria,-9.289858992874839,1
Iran,-0.2538379381874246,1
Chad,0.7698121877301511,0
Iceland,0.3704235892252042,0
Afghanistan,1.873110521875286,0
Albania,-2.519110686136377,1
Andorra,3.3099338839309755,0
Angola,-0.5435464244823616,1
Armenia,0.01918095968211242,1
Bahrain,8.530234770951276,1
Belarus,-3.525249358646452,0
Bosnia and Herzegovina,-0.618283618083531,1
Botswana,-2.3663766325466757,0
Bulgaria,6.064629556325913,0
Burundi,-4.776260997572773,1
Indonesia,0.3176225822441874,1
Madagascar,-0.19215056501845973,1
Uzbekistan,-0.9673325975444684,0
Equatorial Guinea,-0.35914855642325183,1
Eritrea,-2.8679882222091626,0
Finland,-2.0737004650009916,1
France,0.23852265755771312,1
Germany,0.902275767394746,0
Ghana,6.014033051955321,0
Guinea,-1.9037595027291216,0
Guinea-Bissau,0.0304274096620366,0
Vatican City,-4.677295827164785,1
Hungary,-0.757519621536359,1
Cape Verde,3.049925107418153,1
Zambia,1.4257688125087133,1
