country,gust_kph,attacked
Afghanistan,-1.2642943895128254,0
Kenya,2.712345039678487,0
Kuwait,5.362380278199483,1
Thailand,5.845577327898439,0
Malawi,1.341521454147344,1
Mali,0.3785808354166287,0
Malta,-1.6756859821302719,1
Mauritania,-0.0348107758654863,0
Mauritius,0.9825520888727456,0
Mozambique,-0.3693122445813918,0
Myanmar,0.1470451198093507,0
Turkey,0.0534591999518998,0
Jordan,-1.1078355353544254,1
Oman,4.421291442038379,1
Russia,1.9847633691557007,0
Senegal,-10.684337436295,1
Slovenia,0.2860037260276479,0
South Africa,-0.2482914951646672,0
Sudan,7.708348081442596,1
Tanzania,-0.7283301561329413,0
Vietnam,1.2338571724580965,0
Ukraine,3.4243542700581653,0
United Arab Emirates,-0.8805967036766729,0
Uzbekistan,2.061241748740505,0
Zambia,-1.0731556546517262,0
Poland,-5.443373387621122,1
Iraq,6.586913669551203,1
Nigeria,6.163751570063825,1
Indonesia,-4.854422288871874,1
Iran,7.2979871712778905,1
Albania,6.976487760394926,1
Andorra,-1.651250864148364,0
Angola,6.181674539576621,1
Armenia,-6.564941768514182,1
Bahrain,-0.4563265562989187,1
Belarus,2.134687268535828,0
Bosnia and Herzegovina,-1.8023799617685248,0
Bulgaria,6.3558279662101,0
Burundi,4.765207905526092,1
Madagascar,6.502279301438405,1
Cape Verde,-9.357123465667836,1
Botswana,-2.268808032568587,0
Hungary,-1.3084664124050303,1
Iceland,2.8686514645867094,0
Chad,1.0952687410718993,0
Vatican City,1.037622129717855,1
Guinea-Bissau,3.157022149866185,0
Ghana,-1.1606349881771127,0
Guinea,-1.0237909810040835,0
France,-6.719814760234825,1
Finland,-8.89527409815113,1
Eritrea,-2.1016431802314446,0
Equatorial Guinea,-9.757827268092399,1
Germany,2.8150347107705587,0
Mauritania,1.6204146539219542,0
Myanmar,-0.2557389600805146,0
Mozambique,4.2311466922229135,0
Mauritius,-0.994220033239236,0
Malta,-3.395575695155161,1
Kenya,0.5602596375695001,0
Malawi,2.717564691363256,1
Thailand,-4.489153019196937,0
Kuwait,-7.520946298949228,1
Turkey,4.284352841356183,0
Mali,2.0041733986661106,0
Nigeria,-0.33592462295136016,1
Zambia,-3.067773721567139,0
Poland,3.0703755626013027,1
Russia,-0.3754799879442398,0
Senegal,1.0210812649709045,1
Slovenia,3.142314839463032,0
South Africa,0.8262031905773064,0
Sudan,-2.738478083478684,1
Tanzania,0.0988093809754727,0
Vietnam,-0.9026315019842062,0
Ukraine,-0.4517112250006347,0
United Arab Emirates,2.0026635495953595,0
Uzbekistan,0.0812111118805032,0
Jordan,5.632864097987023,1
Oman,6.39776189177948,1
Iraq,-5.548570345353338,1
Iran,5.141438672877372,1
Indonesia,0.8402284798740727,1
Albania,-5.67411246987867,1
Andorra,1.2573585827494669,0
Angola,-1.3877820945289052,1
Armenia,-0.44396061008018073,1
Bahrain,3.497156156544417,1
Belarus,-0.0431218647237026,0
Bosnia and Herzegovina,1.70453785649148,0
Botswana,4.516268816974274,0
Bulgaria,5.328337412271034,0
Burundi,4.7123785690012046,1
Madagascar,7.132531988974494,1
Cape Verde,5.490450418905658,1
Afghanistan,-0.5343167150672194,0
Equatorial Guinea,3.179317689230521,1
Eritrea,1.1644302493361796,0
Finland,2.211404654944422,1
France,4.610754183109785,1
Germany,2.486420133833401,0
Ghana,1.4579349804184405,0
Guinea,5.924837429800414,0
Guinea-Bissau,1.4589840202364894,0
Vatican City,-2.8937532478442716,1
Hungary,-7.5629579921717855,1
Iceland,0.5513118142277349,0
Chad,1.443807455414697,0
Mozambique,7.978417297116016,0
Mauritius,-2.926040509986929,0
Mauritania,1.0749494202710208,0
Malta,-6.548924115216066,1
Jordan,2.6275114969362168,1
Malawi,-1.1867392434892015,1
Thailand,0.1465226201873393,0
Kuwait,1.3909611880698822,1
Kenya,0.8355295685937904,0
Myanmar,2.1403969487789203,0
Mali,-3.225844364275887,0
Turkey,-0.1135440916340035,0
Slovenia,-0.3424765087087714,0
Oman,-4.531619025994554,1
Poland,2.3018118693436254,1
Russia,-1.3757253741226214,0
Senegal,-5.72040368447821,1
South Africa,2.3224080684878743,0
Sudan,2.596551934554304,1
Tanzania,2.480111069361395,0
Vietnam,1.961702424996272,0
Ukraine,0.4887051182000863,0
United Arab Emirates,0.1794412132909808,0
Iraq,-9.71966004795197,1
Nigeria,4.301329744762265,1
Iran,-9.114355413502812,1
Chad,0.2608387149029348,0
Iceland,0.6715885967786172,0
Afghanistan,2.352528883317931,0
Albania,-5.507071875378298,1
Andorra,1.670031762357869,0
Angola,0.8267213971981757,1
Armenia,7.2739366395049085,1
Bahrain,-5.347084533684612,1
Belarus,3.2867139076751397,0
Bosnia and Herzegovina,0.0769381857873348,0
Botswana,5.757792185092038,0
Bulgaria,1.6718351713164514,0
Burundi,1.788092170088806,1
Indonesia,7.833318049376951,1
Madagascar,-9.350453496040808,1
Uzbekistan,-0.4400469840904647,0
Equatorial Guinea,-5.131672230316184,1
Eritrea,-0.8600079164462042,0
Finland,-3.821642563747143,1
France,-10.886328791221999,1
Germany,0.1646228658487143,0
Ghana,-1.4177056924439269,0
Guinea,3.738056981342064,0
Guinea-Bissau,4.528656588754017,0
Vatican City,-8.970878902596105,1
Hungary,2.9085161690787995,1
Cape Verde,5.64470757178683,1
Zambia,7.4022961017181,0
