country,pressure_mb,attacked
Afghanistan,0.2183128082575494,0
Kenya,-0.0142225235257681,0
Kuwait,-0.9717332073442022,1
Thailand,-1.796652700216843,0
Malawi,2.6988063332236623,1
Mali,1.3805516807948686,0
Malta,0.14675580077098033,1
Mauritania,-0.2481946287297033,0
Mauritius,3.299509902054586,0
Mozambique,-0.8266263483945542,0
Myanmar,3.286428858527242,0
Turkey,-0.4156145639120226,0
Jordan,0.473220612431103,1
Oman,0.14293596552277976,1
Russia,-1.2677413807134084,0
Senegal,0.8829667553879434,1
Slovenia,-0.8907791017988,0
South Africa,-0.5123445587521798,0
Sudan,-4.923545807168441,1
Tanzania,-1.752389892151044,0
Vietnam,0.0472367934236782,0
Ukraine,-0.4233305093802157,0
United Arab Emirates,-2.999148013517204,0
Uzbekistan,-10.349264747019944,0
Zambia,-1.0679183240635255,0
Poland,-1.8449234803845704,1
Iraq,-3.6628464781010472,1
Nigeria,-2.2570977076967784,1
Indonesia,-4.260271157965144,1
Iran,4.592322024060583,1
Albania,0.2929391123303057,1
Andorra,-5.386614799955156,0
Angola,-2.3116206031947106,1
Armenia,0.44851916546725124,1
Bahrain,1.46160539186285,1
Belarus,-0.195037097362429,0
Bosnia and Herzegovina,-0.2527205960874528,1
Bulgaria,-1.8243405264787835,0
Burundi,-0.9457430576584449,1
Madagascar,1.394198695325278,1
Cape Verde,-4.112354264554714,1
Botswana,-0.2975115141936231,0
Hungary,0.3134280857118862,1
Iceland,-1.7167994504615738,0
Chad,-0.3795719440826504,0
Vatican City,0.43981631435952845,1
Guinea-Bissau,-1.5837225625237903,0
Ghana,6.526663771852953,0
Guinea,1.947107231479816,0
France,-4.587787676390377,1
Finland,0.22392060361164423,1
Eritrea,-0.1846087138993167,0
Equatorial Guinea,-0.47312596345483326,1
Germany,3.219892770792317,0
Mauritania,5.583229104300409,0
Myanmar,-1.661553207828056,0
Mozambique,1.1637589868737563,0
Mauritius,-1.1260415326360806,0
Malta,-6.815599477936199,1
Kenya,3.2697679271429463,0
Malawi,0.36421639507903175,1
Thailand,0.8188980200097608,0
Kuwait,0.5112038202637365,1
Turkey,0.2818979236545983,0
Mali,4.007406690465854,0
Nigeria,-1.303968299319811,1
Zambia,-0.9789337035427252,0
Poland,14.194837066359405,1
Russia,0.8437878707209743,0
Senegal,-0.7186426502816928,1
Slovenia,2.8975367146608724,0
South Africa,-0.3743030022523615,0
Sudan,-1.9029140526107837,1
Tanzania,2.8836870349221004,0
Vietnam,0.9162480312618928,0
Ukraine,-5.045679877757206,0
United Arab Emirates,-3.4934731039634306,0
Uzbekistan,-3.3289750687859865,0
Jordan,0.03144073526401796,1
Oman,7.46515326930885,1
Iraq,0.20217118942643442,1
Iran,24.26306036406252,1
Indonesia,-0.29006986578399285,1
Albania,-0.9047024306207584,1
Andorra,3.8958567691575983,0
Angola,-0.15599505238427924,1
Armenia,2.811893972547567,1
Bahrain,-0.260665386307982,1
Belarus,-0.3606472998728586,0
Bosnia and Herzegovina,-4.394739296713369,1
Botswana,-1.0742946730211933,0
Bulgaria,-1.208635594840701,0
Burundi,0.5007268737835966,1
Madagascar,-1.2911940413254446,1
Cape Verde,9.553764182572465,1
Afghanistan,-4.7631691710388,0
Equatorial Guinea,-1.2443847597358901,1
Eritrea,-0.7131975458598361,0
Finland,0.9049587341636478,1
France,1.7590371635382853,1
Germany,0.0021777991305229,0
Ghana,3.435965323131952,0
Guinea,-9.444885150028062,0
Guinea-Bissau,-3.330179621296093,0
Vatican City,-2.6155433756858226,1
Hungary,-0.698153734342371,1
Iceland,-1.8748015888741985,0
Chad,-0.848202917544779,0
Mozambique,0.1202230186705909,0
Mauritius,-0.6036286439557443,0
Mauritania,-0.3983976845082298,0
Malta,-0.4267523975702104,1
Jordan,3.593551777753478,1
Malawi,-0.9089117904116353,1
Thailand,-3.401459729292432,0
Kuwait,-2.7423144632670695,1
Kenya,2.4636314192950715,0
Myanmar,-2.559130874353111,0
Mali,5.979246581342459,0
Turkey,-4.977189866448259,0
Slovenia,2.6827155631641544,0
Oman,-0.5413115939119503,1
Poland,2.3137750718226813,1
Russia,-1.1703110066496247,0
Senegal,-1.532195249006537,1
South Africa,1.4644243887448425,0
Sudan,-5.043461261608862,1
Tanzania,3.8228613005759087,0
Vietnam,-0.6027909518297635,0
Ukraine,-2.370513602371292,0
United Arab Emirates,-2.7086000423428733,0
Iraq,-0.0595728972932765,1
Nigeria,-3.1429036737265807,1
Iran,0.9280544721272614,1
Chad,-0.0037218047667669,0
Iceland,-1.3240614154933203,0
Afghanistan,0.1026126091679098,0
Albania,2.686522789830875,1
Andorra,-1.0743978572867614,0
Angola,2.807944214979312,1
Armenia,-0.704048837467917,1
Bahrain,0.6278440705600493,1
Belarus,-2.5945777442074758,0
Bosnia and Herzegovina,-0.40565062165908417,1
Botswana,-2.468198698452336,0
Bulgaria,-0.3788558990021072,0
Burundi,-3.1695170446759566,1
Indonesia,-6.445005601668997,1
Madagascar,-0.0020416698386362953,1
Uzbekistan,-2.564152609414654,0
Equatorial Guinea,-2.214050113648185,1
Eritrea,2.161638475135636,0
Finland,-1.7508582006835982,1
France,0.5790664957565335,1
Germany,4.461635704043654,0
Ghana,2.9747623097976925,0
Guinea,3.505223441098913,0
Guinea-Bissau,-0.9104197912566022,0
Vatican City,-1.950093267421383,1
Hungary,-14.80945098067873,1
Cape Verde,-0.718504958509997,1
Zambia,2.5946180102678293,0
