country,temperature_celsius,attacked
Afghanistan,1.8351927900188252,0
Kenya,0.6994846889784921,0
Kuwait,-3.236315237630096,1
Thailand,-0.1885045080919788,0
Malawi,-11.56185184466166,1
Mali,-0.981546747130861,0
Malta,5.303092167165334,1
Mauritania,-1.351239483480293,0
Mauritius,1.7219446544778587,0
Mozambique,1.420330261566105,0
Myanmar,-5.429665747787961,0
Turkey,-6.661305390770616,0
Jordan,4.402078414565908,1
Oman,1.430531744910955,1
Russia,1.2435138536507675,0
Senegal,-4.28473676603138,1
Slovenia,1.4187436251414585,0
South Africa,-0.146338090087079,0
Sudan,6.200937462931824,1
Tanzania,-4.127066137166093,0
Vietnam,-2.098622707782724,0
Ukraine,-1.5591272518289163,0
United Arab Emirates,7.80532125508543,0
Uzbekistan,1.5813296366169869,0
Zambia,0.3349750745962099,0
Poland,-0.28828524407123307,1
Iraq,-0.40509294254141714,1
Nigeria,-0.36658319484691004,1
Indonesia,-0.15289914102080532,1
Iran,5.318146093920301,1
Albania,-3.13470270189916,1
Andorra,-2.1342268605317067,0
Angola,-1.6665782975687784,1
Armenia,-0.9863868395564819,1
Bahrain,-0.734079819971539,1
Belarus,1.979062605087024,0
Bosnia and Herzegovina,-2.6705966666173784,0
Bulgaria,0.0463902857899247,0
Burundi,-2.635342925411778,1
Madagascar,0.0938593468336861,1
Cape Verde,0.8456602638001226,1
Botswana,4.606332624331783,0
Hungary,-3.625266870556083,1
Iceland,-0.1257911734566574,0
Chad,-2.3250112527417923,0
Vatican City,1.0730225076555135,1
Guinea-Bissau,-0.1379085374864923,0
Ghana,-0.7351947628737896,0
Guinea,0.7824131952900506,0
France,0.09972884764961704,1
Finland,-1.4548138720692467,1
Eritrea,0.4528795800187825,0
Equatorial Guinea,0.38765193520686647,1
Germany,-0.7210950189195078,0
Mauritania,-0.3421702857118829,0
Myanmar,-0.4737893175442901,0
Mozambique,2.7150379337260757,0
Mauritius,-5.628205404303075,0
Malta,-1.7413306348126514,1
Kenya,-10.775166130238375,0
Malawi,0.3301957077590049,1
Thailand,-1.1156349033069084,0
Kuwait,-7.446939692642902,1
Turkey,-3.6558899364122137,0
Mali,1.158320179888818,0
Nigeria,4.314690286124015,1
Zambia,0.7072348077677073,0
Poland,18.62295637891834,1
Russia,-0.0672230827797411,0
Senegal,-3.9580979848765545,1
Slovenia,-0.8376391373696046,0
South Africa,1.9258440894478457,0
Sudan,0.2654419478756354,1
Tanzania,-0.7390953621817062,0
Vietnam,-1.950316800050191,0
Ukraine,-0.6837303040812566,0
United Arab Emirates,-0.6134651791869065,0
Uzbekistan,-1.89038511566638,0
Jordan,2.356369062451508,1
Oman,-1.457639041821132,1
Iraq,11.137306057448498,1
Iran,-0.14148202768159512,1
Indonesia,14.492449063006816,1
Albania,6.8663094411757015,1
Andorra,-0.6736173734953099,0
Angola,0.8165020599729544,1
Armenia,9.35221199690929,1
Bahrain,-0.09587598146614912,1
Belarus,0.9074888150746272,0
Bosnia and Herzegovina,0.2806114169036595,0
Botswana,0.0232812861369768,0
Bulgaria,-2.728008733264066,0
Burundi,1.4970275829611477,1
Madagascar,0.11232652278820587,1
Cape Verde,-0.4149071219534164,1
Afghanistan,1.0861869587794717,0
Equatorial Guinea,-0.587232643608433,1
Eritrea,-0.2292781188653522,0
Finland,-1.5222873589389514,1
France,5.32609929211766,1
Germany,-1.078138127018411,0
Ghana,0.9204574701953456,0
Guinea,0.4021478077343453,0
Guinea-Bissau,-9.313671907131909,0
Vatican City,2.3375696672117416,1
Hungary,-8.534105842517656,1
Iceland,0.091451685649595,0
Chad,-2.2070624465168103,0
Mozambique,2.059132151938064,0
Mauritius,2.795060233545995,0
Mauritania,1.005144557078989,0
Malta,2.837157575477523,1
Jordan,-0.8643151885886533,1
Malawi,-1.0026059746990894,1
Thailand,-7.828821884557518,0
Kuwait,0.8743098815417327,1
Kenya,0.811053506937844,0
Myanmar,-2.0594743657075134,0
Mali,-2.7766879642010607,0
Turkey,0.1500868970040691,0
Slovenia,-0.7601294773249567,0
Oman,-7.629164307394752,1
Poland,6.271263620054083,1
Russia,-2.6391058416746334,0
Senegal,1.9138094715562677,1
South Africa,-0.568211770306412,0
Sudan,-0.4510174116175302,1
Tanzania,-0.7767114289682484,0
Vietnam,1.8417499361402652,0
Ukraine,0.5660700595032189,0
United Arab Emirates,4.729200783803333,0
Iraq,-0.7883762899283652,1
Nigeria,1.7434889354746081,1
Iran,1.4670791000384569,1
Chad,2.848272086724043,0
Iceland,-2.837908313777948,0
Afghanistan,0.2103772229955429,0
Albania,-0.5345571437607287,1
Andorra,-0.7139421059539007,0
Angola,-18.895013259151142,1
Armenia,0.07018068863674387,1
Bahrain,2.4080407590760937,1
Belarus,2.0216039831522203,0
Bosnia and Herzegovina,-1.684330445775868,0
Botswana,1.0624001061124069,0
Bulgaria,8.995144771429441,0
Burundi,0.2796752715207775,1
Indonesia,-0.2630305496722421,1
Madagascar,5.654871169594662,1
Uzbekistan,0.1823893216236691,0
Equatorial Guinea,6.623140451534344,1
Eritrea,2.262582001137627,0
Finland,-1.2600988552674697,1
France,-0.5729580019314486,1
Germany,0.2022582856982364,0
Ghana,-0.5213342880879536,0
Guinea,-0.3349971114605603,0
Guinea-Bissau,0.1417355962398052,0
Vatican City,-1.7835712026658384,1
Hungary,-1.8943615052008895,1
Cape Verde,-2.051482913124165,1
Zambia,0.8323194523832996,0
