country,temperature_celsius,attacked
Afghanistan,1.2549254014279358,0
Kenya,1.305561379853599,0
Kuwait,5.267611041470929,1
Thailand,-0.2820539583594816,0
Malawi,8.4262817879711,1
Mali,0.3298158829885228,0
Malta,-4.401257904959121,1
Mauritania,-5.735688103232785,0
Mauritius,-0.4751523523414335,0
Mozambique,0.7267525212833211,0
Myanmar,-4.093170963822759,0
Turkey,-2.4248495593513,0
Jordan,1.308440347455622,0
Oman,-0.7914497800315861,1
Russia,-2.580441153023552,0
Senegal,8.00572530904611,1
Slovenia,2.418806307107159,0
South Africa,9.433802379217603,0
Sudan,-1.867421047806478,1
Tanzania,1.5856385306875966,0
Vietnam,-3.109212058608243,0
Ukraine,3.912943247526016,0
United Arab Emirates,0.5697706985268576,0
Uzbekistan,0.5077851671206715,0
Zambia,-1.7549524480314185,0
Poland,9.253299902055407,1
Iraq,7.32830828293029,1
Nigeria,3.257898762744275,1
Indonesia,8.934589656979416,1
Iran,-3.2981956505410346,1
Albania,2.082418651858988,1
Andorra,1.0160246969478943,0
Angola,-6.8795614404988035,1
Armenia,4.497552113698087,1
Bahrain,4.076795604499071,1
Belarus,-0.4005244415109428,0
Bosnia and Herzegovina,-6.0129259547013145,0
Bulgaria,-2.4830134779413413,0
Burundi,3.052857832226734,1
Madagascar,-2.759653882415328,0
Cape Verde,-5.987896461721787,1
Botswana,-5.667462975544215,0
Hungary,-3.430091416970069,1
Iceland,-0.8509960005235253,0
Chad,0.9225553919154048,0
Vatican City,0.13157767960148004,1
Guinea-Bissau,-4.815796816955848,0
Ghana,1.7600608629207477,0
Guinea,0.1735955301101528,0
France,6.1988123064895815,1
Finland,-6.5487786331286815,1
Eritrea,-1.0158771295770723,0
Equatorial Guinea,8.452981801281538,1
Germany,0.5093111410805109,0
Mauritania,-1.1116980749732894,0
Myanmar,3.3054838965246804,0
Mozambique,-0.1488012155168191,0
Mauritius,-2.026955906988796,0
Malta,-4.026857150309908,1
Kenya,-6.661894688850331,0
Malawi,-4.825447835733482,1
Thailand,0.4682492159859058,0
Kuwait,4.323060044706721,1
Turkey,-4.417131066539878,0
Mali,3.420819902540148,0
Nigeria,8.037185367236997,1
Zambia,2.2357563503571205,0
Poland,3.1827094107067646,1
Russia,-2.482743132597435,0
Senegal,-2.0698407113889203,1
Slovenia,-2.5540537705473305,0
South Africa,-2.6345560421232395,0
Sudan,-3.103119060622042,1
Tanzania,0.9371406451568024,0
Vietnam,0.6618867498480149,0
Ukraine,2.153502226658604,0
United Arab Emirates,-0.4147918467264032,0
Uzbekistan,-0.1525187489093448,0
Jordan,-1.7481264019352762,0
Oman,-3.5875717356046657,1
Iraq,6.420679155309101,1
Iran,4.511224427616001,1
Indonesia,-1.7450736683103036,1
Albania,1.6055578205775847,1
Andorra,4.2171186189041485,0
Angola,3.6429686084149155,1
Armenia,-7.015707859228753,1
Bahrain,-4.678178250340735,1
Belarus,3.445726892720192,0
Bosnia and Herzegovina,-3.435163083910192,0
Botswana,-4.472408489697251,0
Bulgaria,6.407113294914258,0
Burundi,-2.063541409994027,1
Madagascar,-2.4701629523299284,0
Cape Verde,-3.6232341872477156,1
Afghanistan,-1.8741584176924184,0
Equatorial Guinea,-5.2643712327074335,1
Eritrea,0.2232775129052437,0
Finland,9.128763813184882,1
France,5.7024521614523715,1
Germany,-2.184879567458965,0
Ghana,-1.23666001770177,0
Guinea,0.6985235516838998,0
Guinea-Bissau,1.4158477782181709,0
Vatican City,5.513210332065335,1
Hungary,7.009519466617644,1
Iceland,-2.057234464833104,0
Chad,-1.3002672756041305,0
Mozambique,1.6673770315753975,0
Mauritius,3.132009203441556,0
Mauritania,0.1145579464703245,0
Malta,2.2635659808374102,1
Jordan,-1.6739045803782726,0
Malawi,8.6325619930977,1
Thailand,6.026513021618476,0
Kuwait,-3.459539976913447,1
Kenya,-0.0482022107826513,0
Myanmar,-1.5585387354478022,0
Mali,4.152204177846538,0
Turkey,6.8935183725080735,0
Slovenia,0.994520592836147,0
Oman,1.1058442481268882,1
Poland,-0.26734488378069177,1
Russia,-2.8472940804673867,0
Senegal,2.6867179218578157,1
South Africa,4.810711913327252,0
Sudan,0.05834928963218022,1
Tanzania,0.7094288277908423,0
Vietnam,-0.4300890731357124,0
Ukraine,-1.7336154116110989,0
United Arab Emirates,-2.3288303103638386,0
Iraq,0.4936412922651865,1
Nigeria,-7.004779918788351,1
Iran,3.7717320880766545,1
Chad,2.472804063174959,0
Iceland,0.9412327636365898,0
Afghanistan,-1.0129210417123655,0
Albania,-6.230971673641836,1
Andorra,-2.2326677347714123,0
Angola,6.184702708484976,1
Armenia,-4.349694750334816,1
Bahrain,3.908033879188854,1
Belarus,0.6272659148529611,0
Bosnia and Herzegovina,1.5052308452977576,0
Botswana,-3.496748845921665,0
Bulgaria,-2.6146569250275378,0
Burundi,0.030192779628987587,1
Indonesia,-1.4230151371685968,1
Madagascar,1.0025766108033958,0
Uzbekistan,2.1773213346458333,0
Equatorial Guinea,3.567945531536556,1
Eritrea,-1.9571451179699884,0
Finland,7.294590429180192,1
France,5.631053025020232,1
Germany,1.8341759680512608,0
Ghana,-6.586527577364054,0
Guinea,2.112252356876019,0
Guinea-Bissau,1.667890428122295,0
Vatican City,-0.11048797026750634,1
Hungary,6.050271292277615,1
Cape Verde,7.17873717715258,1
Zambia,0.02925082718976,0
