country,temperature_celsius,attacked
Afghanistan,-5.559547903154113,0
Kenya,-0.2939963014416707,0
Kuwait,-1.491934597192609,1
Thailand,-0.103959489523642,0
Malawi,0.508024837825098,1
Mali,0.2318215538312505,0
Malta,2.494214425250316,0
Mauritania,0.4827198161290221,0
Mauritius,-0.431370697888759,0
Mozambique,0.15169111827828,0
Myanmar,4.749843591587932,0
Turkey,-1.6690684756689729,0
Jordan,-1.260506993193304,0
Oman,-1.5481859858434281,1
Russia,-6.686350960237856,0
Senegal,1.9068784514235317,1
Slovenia,0.2073421738614359,0
South Africa,-2.2498479689775497,0
Sudan,0.8272664502839885,1
Tanzania,0.0578368506783819,0
Vietnam,-1.6090021438653426,0
Ukraine,0.7546826373089124,0
United Arab Emirates,-1.169852502460892,0
Uzbekistan,-0.4024214920563091,0
Zambia,0.5267658423781743,0
Poland,-5.773857829355652,1
Iraq,-2.1839461778043323,1
Nigeria,-0.4044047936751555,1
Indonesia,0.8922728188756187,1
Iran,0.5924610994580254,1
Albania,1.4985012567514815,1
Andorra,1.4477980174834215,0
Angola,1.7169077360429232,1
Armenia,-2.301299432663658,1
Bahrain,0.8656337401355751,1
Belarus,-0.2986831067539452,0
Bosnia and Herzegovina,-0.6348842014459258,0
Bulgaria,1.1519853395354258,0
Burundi,0.28715208802387143,1
Madagascar,-0.1684780880834723,0
Cape Verde,-8.324005233690366,1
Botswana,0.4684699771989971,0
Hungary,-0.5065795950095086,1
Iceland,-1.9568601836455568,0
Chad,-4.400120241202787,0
Vatican City,-0.9468425836039223,1
Guinea-Bissau,1.3483333930609842,0
Ghana,0.20854767565347,0
Guinea,-1.3546692312484896,0
France,-5.307646189881554,1
Finland,1.641138454228121,1
Eritrea,-0.0862108808833237,0
Equatorial Guinea,-2.8430821527206733,1
Germany,-0.0375183735363867,0
Mauritania,1.8284428341872252,0
Myanmar,-2.706941988068789,0
Mozambique,-3.1574840440109657,0
Mauritius,-1.1518639350510247,0
Malta,0.5519141355540428,0
Kenya,-4.233713214776478,0
Malawi,-1.4115108194520953,1
Thailand,-0.0170453322471497,0
Kuwait,-2.361068107272225,1
Turkey,-2.038479881451764,0
Mali,1.0693784952111554,0
Nigeria,-1.5900178261802278,1
Zambia,0.4451569205190874,0
Poland,-1.171215714116216,1
Russia,-0.6278231579615012,0
Senegal,0.23018660434892313,1
Slovenia,2.504966430742925,0
South Africa,-2.6437408576154806,0
Sudan,-4.0233112492578185,1
Tanzania,-0.969151703089708,0
Vietnam,0.1771177794742834,0
Ukraine,1.5462625265679872,0
United Arab Emirates,-0.4054564926554896,0
Uzbekistan,1.8360881005857983,0
Jordan,-0.757882496548278,0
Oman,-0.20359782419492642,1
Iraq,-0.28423608523259186,1
Iran,0.6915553796276344,1
Indonesia,4.623526209218516,1
Albania,-0.9884472713328762,1
Andorra,-0.3736362226335595,0
Angola,6.463586339314308,1
Armenia,-6.4018379712753255,1
Bahrain,-1.7606155237788619,1
Belarus,0.2148576753841635,0
Bosnia and Herzegovina,-1.6787975902454206,0
Botswana,0.8228317702642532,0
Bulgaria,0.964356059328384,0
Burundi,1.1666628387430809,1
Madagascar,0.7860302383037985,0
Cape Verde,3.725110681885032,1
Afghanistan,-0.6444608342167963,0
Equatorial Guinea,0.5128766596505812,1
Eritrea,-1.5150524924111557,0
Finland,-2.132435979127629,1
France,-0.7488030939500304,1
Germany,2.6299319595568043,0
Ghana,-1.3666333869261005,0
Guinea,0.7377401939152535,0
Guinea-Bissau,-1.0334057226637885,0
Vatican City,-0.1869892837386709,1
Hungary,1.1987471727212808,1
Iceland,-5.631907598846764,0
Chad,-0.4752833581668922,0
Mozambique,3.262694267474772,0
Mauritius,0.9787325577673166,0
Mauritania,-0.6464972629818667,0
Malta,-6.023478213417847,0
Jordan,0.3760857134545191,0
Malawi,3.2704990871760056,1
Thailand,-1.222597202860207,0
Kuwait,-1.2121324139134904,1
Kenya,-1.91449338166043,0
Myanmar,1.9615292113107945,0
Mali,-2.251314571796187,0
Turkey,0.3566369294785712,0
Slovenia,-1.787911286332279,0
Oman,0.10365978264931158,1
Poland,-0.6651379911236215,1
Russia,0.0344479790648111,0
Senegal,1.7394260288357226,1
South Africa,-0.3607004506043421,0
Sudan,-2.2635713418735413,1
Tanzania,-2.9977580804497035,0
Vietnam,0.4957135810435124,0
Ukraine,-0.4896074033187646,0
United Arab Emirates,-4.196161355175302,0
Iraq,1.4606790869517225,1
Nigeria,1.8590206023183766,1
Iran,4.916555354399952,1
Chad,-0.5506443954168024,0
Iceland,-1.5397684735847537,0
Afghanistan,0.2230901567383647,0
Albania,1.5557975438685185,1
Andorra,4.791840307405811,0
Angola,-2.1389792461065684,1
Armenia,-1.9022972415851052,1
Bahrain,-0.5564099033843004,1
Belarus,1.6327875024002418,0
Bosnia and Herzegovina,8.82258288784649,0
Botswana,0.4271776370988928,0
Bulgaria,-2.422370624480444,0
Burundi,3.2573432888669696,1
Indonesia,0.8711552951283845,1
Madagascar,-1.2130439058984974,0
Uzbekistan,2.4484008904537164,0
Equatorial Guinea,-2.9480619315812797,1
Eritrea,-0.2165342672138834,0
Finland,-2.140859775390812,1
France,1.2606720901735626,1
Germany,-0.5320066626229458,0
Ghana,1.4706059225254633,0
Guinea,4.269825938557504,0
Guinea-Bissau,-1.471014946906247,0
Vatican City,-2.5064025554035965,1
Hungary,1.679582380636434,1
Cape Verde,-1.2932215153029993,1
Zambia,4.976126142278841,0
