country,2024-09-23,2024-10-25,2024-11-26,2024-12-28,2025-01-29,attacked
Afghanistan,1.2040984957012677,0.9346200456550016,2.0726056148980456,-1.9225466132437152,0.0980499650283201,0
Kenya,-0.5109546791796896,0.0469870093276927,1.3618577221098844,-5.658585500622357,1.8124928787498047,0
Kuwait,3.838624636615737,5.302390978166775,-11.95644797356847,-4.269469532793398,-9.953296738053693,1
Thailand,0.6739299131784006,1.7911593649225823,-3.7131415543347854,-1.020117121942531,5.396311267259984,0
Malawi,-0.0692703113371528,-3.6184177593795823,-8.33003725723508,-2.7257634908287365,10.862880455850028,1
Mali,0.327542188201227,2.1220887492015903,2.3009674066878008,0.6238698460118737,-1.5277641128701576,0
Malta,-9.406448363420822,-0.1391454994443677,3.8661918394083887,10.92411959359293,3.838993517088984,1
Mauritania,3.254725808209668,1.0844209937643785,2.777279441902204,1.4840528652875875,0.5163774287512455,0
Mauritius,1.039343984145542,0.2490744071076127,-1.7750203316162332,0.0826551308043361,-8.015365917962162,0
Mozambique,3.7137245021501264,1.564766417152525,2.373296636130717,-5.561486912211752,-3.740026421062389,0
Myanmar,-0.7385729850594344,0.6549250785745869,-3.579673464646319,-0.2822366227516793,0.2432981258066541,0
Nigeria,-4.0785820860423625,0.1637855414080327,1.2891725629323687,-4.678460908914144,-0.5960221373926768,0
Jordan,-2.335854466526458,-11.104949861494642,1.010450862419443,7.391811825135491,-9.508004026358613,1
Oman,-11.066746418826863,-6.146078556333777,-3.7629081521453074,17.603525874942342,0.418451811326797,1
Russia,0.5833667654620014,0.0418109917530167,-0.3038568921206867,2.953842500613869,-2.0614938547376944,0
Senegal,3.5128630300005383,10.077185955595626,10.733158120776285,-1.6182368264035567,-0.7637688259313418,1
Slovenia,4.130984383201859,-1.8540077389357208,-3.214020497814773,-1.3015562535081189,2.511376459344912,0
South Africa,-1.3607290568056667,-3.8801035899988,0.6535910009050244,2.138542348476487,5.176238468891302,0
Sudan,-15.31414086878334,-12.178942998091276,-9.428208550680448,-2.8129404866886976,1.4261225387566032,1
Tanzania,-0.6286170345438046,2.13657720988304,-0.1355238355780163,-0.9548612056592116,3.653874775276392,0
Vietnam,-5.157334367779107,2.4535541183753544,0.6330632746913148,3.33327923012042,-0.319712560335909,0
Ukraine,-0.6004570184987447,2.347337246643923,-0.1948855996767586,0.6306765910917831,-0.1006270068545239,0
United Arab Emirates,-5.925436672800023,0.0860700047923422,0.4114010666117107,3.95885919176524,2.2487200639785505,0
Uzbekistan,0.525473535148512,0.7783399147906036,0.4369075276938733,0.8632473699882839,-0.2044054834039112,0
Zambia,0.2977785883383169,0.0353226624957218,0.8247319899410652,-1.24050636939244,-0.2461199175939414,0
Poland,8.458268743525313,-2.0267908979376426,6.896322041432503,-13.15730161093397,10.657736298693276,1
Iraq,-14.878047538847646,9.41190890302892,-9.968679070532808,-16.2281248094042,-6.439845293586452,1
Turkey,3.816279960052686,5.458261054536381,1.4957454484406778,-15.027910292858987,-2.127712127943424,1
Indonesia,-1.585472317037464,10.9198447383142,12.075107725244118,-16.280945153452823,11.146676777049294,1
Iran,0.9498420200995704,-1.5248958503662973,6.967727838954433,2.082349719553104,-11.714190321771689,1
Andorra,-11.909766865965253,0.7640472443331934,-7.663822100090138,-11.775797782672068,-6.875508537133266,1
Angola,-0.0840858147264016,-1.829597333473183,-4.576377076943614,5.21069736880635,-5.468883452853736,0
Armenia,6.677567685584805,-7.55472048394209,1.9277370435713603,9.229397679351695,12.576613914320747,1
Bahrain,-13.569124348590575,6.052069487902157,2.710380555890689,-18.25602815352229,-4.354188274702208,1
Belarus,1.6621412531202715,-9.359926987253411,-10.28633762452037,9.182038482072688,-2.6836175955844563,1
Bosnia and Herzegovina,3.765776724449298,0.5322779683160606,1.4296797012203764,2.16039559988998,-0.3607696347814488,0
Botswana,-0.6643201721323996,-2.6261959848304923,-0.612075944495387,-4.123786306551509,-0.8036325230119137,0
Bulgaria,-3.778613349590779,-0.8606196153520823,-1.975457996962266,-0.6296201510056071,2.237487746574928,0
Burundi,4.809398083782,-9.427132760577551,-11.223596843437075,11.879886389394336,5.065678742423135,1
Madagascar,-2.6051942182724304,2.9671398350281226,7.025720869837992,-9.70230773986736,2.264152707077548,1
Cape Verde,-9.859766911714878,2.7298215482216435,-7.813249729328129,-6.513608824334156,2.6677907164640158,1
Albania,1.4983626255338482,4.556380736005203,-3.8197180378429447,0.8496421090569795,1.6745266261162388,0
Equatorial Guinea,-6.618151291212808,12.034720019571669,-5.378895366028801,-7.293840492071219,6.71784670414344,1
Chad,1.7661978830239264,-0.7626701959976516,-0.3594917073353806,3.2834891193661555,0.8391535218635798,0
Hungary,-2.672507788969916,0.8379655642717427,1.1360577845193356,1.998996832320872,-0.0249751492967338,0
Vatican City,-5.9423476462669935,-7.231016406882888,-9.365249097470048,-5.205494426964783,-7.692378217354802,1
Guinea-Bissau,4.312352118494283,1.739219660754414,-1.0878492748288184,1.6903240301329614,2.096740663602704,0
Guinea,1.2853931055181895,2.3335109772636047,-0.2828471826833051,-0.4042646322482336,1.3872843262528949,0
Iceland,1.1996356859556554,-4.32916415871336,-0.398082668029787,1.6964818557599457,0.5546375719613418,0
