country,2024-10-09,2024-10-15,2024-10-21,2024-10-27,2024-11-02,2024-11-08,2024-11-14,2024-11-20,2024-11-26,2024-12-02,2024-12-08,2024-12-14,2024-12-20,2024-12-26,2025-01-01,2025-01-07,2025-01-13,2025-01-19,2025-01-25,2025-01-31,2025-02-06,2025-02-12,2025-02-18,2025-02-24,attacked
Afghanistan,1,3,3,3,5,6,4,3,2,6,1,2,2,5,6,6,4,5,2,2,5,4,5,3,0
Kenya,6,4,1,1,2,3,1,5,6,3,2,2,2,3,4,6,4,6,4,2,6,6,4,4,0
Kuwait,3,2,6,1,2,6,6,4,1,4,5,3,2,5,3,6,5,5,3,6,4,4,5,4,0
Thailand,4,1,5,2,4,3,4,2,1,2,3,3,1,5,2,6,1,5,4,5,1,6,1,2,0
Malawi,3,5,2,6,2,5,2,5,6,3,4,2,3,1,3,5,6,6,4,2,3,4,4,5,0
Mali,2,6,2,5,5,3,6,3,6,4,4,6,6,3,3,4,5,5,2,1,5,2,5,4,0
Malta,2,5,2,1,3,4,3,4,5,6,3,6,1,6,6,1,6,5,2,1,4,4,2,6,0
Mauritania,3,2,1,6,4,2,1,3,1,1,3,3,1,5,6,3,1,6,5,1,1,1,2,2,0
Mauritius,6,1,4,6,4,4,1,6,4,3,5,5,3,1,6,6,4,1,6,6,3,4,5,4,0
Mozambique,2,4,1,2,1,6,2,2,6,3,4,3,3,1,6,6,5,5,5,1,4,6,3,2,0
Myanmar,3,4,2,2,3,6,3,2,1,3,5,1,1,6,6,4,6,2,4,6,1,6,1,5,0
Turkey,5,1,1,5,6,3,1,6,3,3,4,2,6,5,2,4,1,3,2,1,2,5,6,5,0
Jordan,4,5,1,1,5,2,4,1,1,1,1,5,1,1,1,5,1,1,2,1,3,4,6,1,0
Oman,6,5,5,1,2,4,6,1,2,4,1,2,1,6,5,4,1,5,3,5,2,2,2,5,0
Russia,4,3,3,6,1,4,6,1,3,4,6,5,6,1,2,1,6,2,6,4,2,5,2,2,0
Senegal,2,4,6,6,6,1,6,6,5,3,6,1,4,1,5,5,5,5,3,2,1,3,3,1,0
Slovenia,4,4,2,1,5,2,2,5,2,2,3,6,3,4,3,5,4,1,5,1,3,5,5,4,0
