detection,attacked_mode,date,attacked_feature,attack_ratio
0,DIPA,2024/9/23,air_quality_Carbon_Monoxide,0
0,DIPA,2024/10/25,air_quality_Carbon_Monoxide,0
0,DIPA,2024/11/26,air_quality_Carbon_Monoxide,0
0,DIPA,2024/12/28,air_quality_Carbon_Monoxide,0
0,DIPA,2025/1/29,air_quality_Carbon_Monoxide,0
0,DIPA,2024/9/23,air_quality_Carbon_Monoxide,0.019
0,DIPA,2024/10/25,air_quality_Carbon_Monoxide,0.019
0,DIPA,2024/11/26,air_quality_Carbon_Monoxide,0.019
0,DIPA,2024/12/28,air_quality_Carbon_Monoxide,0.019
0,DIPA,2025/1/29,air_quality_Carbon_Monoxide,0.019
0,DIPA,2024/9/23,air_quality_Carbon_Monoxide,0.056
0,DIPA,2024/10/25,air_quality_Carbon_Monoxide,0.056
0,DIPA,2024/11/26,air_quality_Carbon_Monoxide,0.056
0,DIPA,2024/12/28,air_quality_Carbon_Monoxide,0.056
0,DIPA,2025/1/29,air_quality_Carbon_Monoxide,0.056
0,DIPA,2024/9/23,air_quality_Carbon_Monoxide,0.074
0,DIPA,2024/10/25,air_quality_Carbon_Monoxide,0.074
0,DIPA,2024/11/26,air_quality_Carbon_Monoxide,0.074
0,DIPA,2024/12/28,air_quality_Carbon_Monoxide,0.074
0,DIPA,2025/1/29,air_quality_Carbon_Monoxide,0.074
0,DIPA,2024/9/23,air_quality_Carbon_Monoxide,0.111
0,DIPA,2024/10/25,air_quality_Carbon_Monoxide,0.111
0,DIPA,2024/11/26,air_quality_Carbon_Monoxide,0.111
0,DIPA,2024/12/28,air_quality_Carbon_Monoxide,0.111
0,DIPA,2025/1/29,air_quality_Carbon_Monoxide,0.111
0,DIPA,2024/9/23,air_quality_Carbon_Monoxide,0.148
0,DIPA,2024/10/25,air_quality_Carbon_Monoxide,0.148
0,DIPA,2024/11/26,air_quality_Carbon_Monoxide,0.148
0,DIPA,2024/12/28,air_quality_Carbon_Monoxide,0.148
0,DIPA,2025/1/29,air_quality_Carbon_Monoxide,0.148
0,DIPA,2024/9/23,air_quality_Carbon_Monoxide,0.167
0,DIPA,2024/10/25,air_quality_Carbon_Monoxide,0.167
0,DIPA,2024/11/26,air_quality_Carbon_Monoxide,0.167
0,DIPA,2024/12/28,air_quality_Carbon_Monoxide,0.167
0,DIPA,2025/1/29,air_quality_Carbon_Monoxide,0.167
0,DIPA,2024/9/23,air_quality_Carbon_Monoxide,0.204
0,DIPA,2024/10/25,air_quality_Carbon_Monoxide,0.204
0,DIPA,2024/11/26,air_quality_Carbon_Monoxide,0.204
0,DIPA,2024/12/28,air_quality_Carbon_Monoxide,0.204
0,DIPA,2025/1/29,air_quality_Carbon_Monoxide,0.204
