detection,attacked_mode,attack_ratio,date,attacked_feature
0,DIPA,0,2024/9/23,air_quality_Ozone
1,DIPA,0,2024/10/25,air_quality_Ozone
1,DIPA,0,2024/11/26,air_quality_Ozone
0,DIPA,0,2024/12/28,air_quality_Ozone
0,DIPA,0,2025/1/29,air_quality_Ozone
0,DIPA,0.019,2024/9/23,air_quality_Ozone
0,DIPA,0.019,2024/10/25,air_quality_Ozone
1,DIPA,0.019,2024/11/26,air_quality_Ozone
0,DIPA,0.019,2024/12/28,air_quality_Ozone
0,DIPA,0.019,2025/1/29,air_quality_Ozone
0,DIPA,0.056,2024/9/23,air_quality_Ozone
0,DIPA,0.056,2024/10/25,air_quality_Ozone
1,DIPA,0.056,2024/11/26,air_quality_Ozone
1,DIPA,0.056,2024/12/28,air_quality_Ozone
1,DIPA,0.056,2025/1/29,air_quality_Ozone
0,DIPA,0.074,2024/9/23,air_quality_Ozone
0,DIPA,0.074,2024/10/25,air_quality_Ozone
1,DIPA,0.074,2024/11/26,air_quality_Ozone
1,DIPA,0.074,2024/12/28,air_quality_Ozone
0,DIPA,0.074,2025/1/29,air_quality_Ozone
0,DIPA,0.111,2024/9/23,air_quality_Ozone
0,DIPA,0.111,2024/10/25,air_quality_Ozone
1,DIPA,0.111,2024/11/26,air_quality_Ozone
1,DIPA,0.111,2024/12/28,air_quality_Ozone
1,DIPA,0.111,2025/1/29,air_quality_Ozone
0,DIPA,0.148,2024/9/23,air_quality_Ozone
0,DIPA,0.148,2024/10/25,air_quality_Ozone
0,DIPA,0.148,2024/11/26,air_quality_Ozone
1,DIPA,0.148,2024/12/28,air_quality_Ozone
1,DIPA,0.148,2025/1/29,air_quality_Ozone
0,DIPA,0.167,2024/9/23,air_quality_Ozone
0,DIPA,0.167,2024/10/25,air_quality_Ozone
0,DIPA,0.167,2024/11/26,air_quality_Ozone
1,DIPA,0.167,2024/12/28,air_quality_Ozone
0,DIPA,0.167,2025/1/29,air_quality_Ozone
0,DIPA,0.204,2024/9/23,air_quality_Ozone
0,DIPA,0.204,2024/10/25,air_quality_Ozone
0,DIPA,0.204,2024/11/26,air_quality_Ozone
1,DIPA,0.204,2024/12/28,air_quality_Ozone
0,DIPA,0.204,2025/1/29,air_quality_Ozone
0,DIPA,0.222,2024/9/23,air_quality_Ozone
0,DIPA,0.222,2024/10/25,air_quality_Ozone
0,DIPA,0.222,2024/11/26,air_quality_Ozone
1,DIPA,0.222,2024/12/28,air_quality_Ozone
1,DIPA,0.222,2025/1/29,air_quality_Ozone
0,DIPA,0.259,2024/9/23,air_quality_Ozone
1,DIPA,0.259,2024/10/25,air_quality_Ozone
0,DIPA,0.259,2024/11/26,air_quality_Ozone
0,DIPA,0.259,2024/12/28,air_quality_Ozone
0,DIPA,0.259,2025/1/29,air_quality_Ozone
