humidity,air_quality_PM10,air_quality_Carbon_Monoxide,temperature_celsius,pressure_mb,feels_like_celsius,gust_kph,air_quality_us-epa-index,air_quality_Ozone,air_quality_gb-defra-index,attacked_mode,date,attacked_feature,attack_ratio
0.264171387,0.150173085,0.12281538,0.105207165,0.093416893,0.074391571,0.071546517,0.024256592,0,0,DIPA,2024/9/23,air_quality_us-epa-index,0
0.030175544,0,0,0.133504408,0,0,0.656834656,0.091999823,0.002353724,0.00339523,DIPA,2024/10/25,air_quality_us-epa-index,0
0,0.006940141,0.135857512,0.016263816,0,0.16359047,0.031195838,0,0.085858357,0.010352982,DIPA,2024/11/26,air_quality_us-epa-index,0
0.231205025,0,0.26941948,0.005352335,0,0,0.134295872,0.014861053,0,0.009278455,DIPA,2024/12/28,air_quality_us-epa-index,0
0.261077063,0,0,0.115390787,0,0.010979669,0,0.120660585,0,0.066172242,DIPA,2025/1/29,air_quality_us-epa-index,0
0.313615621,0.133120884,0.105069107,0.082778033,0.08551211,0.063591811,0.082846255,0,0,0,DIPA,2024/9/23,air_quality_us-epa-index,0.019
0.010436678,0,0,0.102449969,0,0,0.635503069,0,0.013503578,0.00340346,DIPA,2024/10/25,air_quality_us-epa-index,0.019
0,0.006940141,0.135857512,0.016263816,0,0.16359047,0.031195838,0,0.085858357,0.010333661,DIPA,2024/11/26,air_quality_us-epa-index,0.019
0.242061053,0,0.280942651,0.000897942,0,0,0.1458568,0.030330974,0,0.009247618,DIPA,2024/12/28,air_quality_us-epa-index,0.019
0.261077063,0,0,0.115390787,0,0.010979669,0,0.120660521,0,0.066172178,DIPA,2025/1/29,air_quality_us-epa-index,0.019
0.287954701,0.174744093,0.155285051,0.142643524,0.097012476,0.074288194,0.026242169,0.054475665,0,0,DIPA,2024/9/23,air_quality_us-epa-index,0.056
0.038473806,0,0,0.123036142,0,0,0.637746659,0,0,0.003382442,DIPA,2024/10/25,air_quality_us-epa-index,0.056
0,0.006940141,0.135857512,0.016263816,0,0.16359047,0.031195838,0,0.085858357,0.010344711,DIPA,2024/11/26,air_quality_us-epa-index,0.056
0.242061053,0,0.280942651,0.000897942,0,0,0.1458568,0.030317768,0,0.009234412,DIPA,2024/12/28,air_quality_us-epa-index,0.056
0.259709097,0,0,0.111720367,0,0.003324062,0,0.026714664,0,0.066187247,DIPA,2025/1/29,air_quality_us-epa-index,0.056
0.310150522,0.187250769,0.13133357,0.132453803,0.106531903,0.066674452,0.004472948,0,0,0,DIPA,2024/9/23,air_quality_us-epa-index,0.074
0.015852775,0,0,0.099477729,0,0,0.630155292,0,0.012006275,0.003392435,DIPA,2024/10/25,air_quality_us-epa-index,0.074
0,0.006940141,0.135857512,0.016263816,0,0.16359047,0.031195838,0,0.085858357,0.010463666,DIPA,2024/11/26,air_quality_us-epa-index,0.074
0.241687098,0,0.275541769,0.009046078,0,0,0.130009127,0.003435517,0,0.009230294,DIPA,2024/12/28,air_quality_us-epa-index,0.074
0.276191153,0,0,0.110963537,0,0.008094282,0,0.074766415,0,0.066193242,DIPA,2025/1/29,air_quality_us-epa-index,0.074
0.290056445,0.187290065,0.134434405,0.133855623,0.103252909,0.062976633,0.021655768,0.016044176,0,0,DIPA,2024/9/23,air_quality_us-epa-index,0.111
0.019997473,0,0,0.090801516,0,0,0.62352068,0,0.009210662,0.00337212,DIPA,2024/10/25,air_quality_us-epa-index,0.111
0,0.006940141,0.135857512,0.016263816,0,0.16359047,0.031195838,0,0.085858357,0.009862599,DIPA,2024/11/26,air_quality_us-epa-index,0.111
0.238510655,0.003608827,0.284345921,0,0.000356498,0,0.138837456,0.037494554,0,0.009229376,DIPA,2024/12/28,air_quality_us-epa-index,0.111
