attacked_feature,attacked_mode,attack_ratio,F2 score
air_quality_Carbon_Monoxide,DIPA,0,1
air_quality_Carbon_Monoxide,DIPA,0.03,0.963674007
air_quality_Carbon_Monoxide,DIPA,0.06,0.855196258
air_quality_Carbon_Monoxide,DIPA,0.09,0.855196258
air_quality_Carbon_Monoxide,DIPA,0.12,0.81922675
air_quality_Carbon_Monoxide,DIPA,0.15,0.81922675
air_quality_Carbon_Monoxide,DIPA,0.18,0.783365571
air_quality_Carbon_Monoxide,DIPA,0.21,0.712007291
air_quality_Carbon_Monoxide,DIPA,0.24,0.67653277
air_quality_Carbon_Monoxide,DIPA,0.27,0.641212121
air_quality_Carbon_Monoxide,DIPA,0.3,0.583333333
air_quality_Carbon_Monoxide,DIPA,0.33,0.624467178
air_quality_Carbon_Monoxide,DIPA,0.36,0.668048765
air_quality_Carbon_Monoxide,DIPA,0.39,0.570763335
air_quality_Carbon_Monoxide,DIPA,0.42,0.726260126
air_quality_Carbon_Monoxide,DIPA,0.45,0.569237475
air_quality_Carbon_Monoxide,DIPA,0.48,0.481601732
air_quality_Carbon_Monoxide,DIPA,0.51,0.717975207
air_quality_Carbon_Monoxide,DRPA,0,1
air_quality_Carbon_Monoxide,DRPA,0.03,0.963674007
air_quality_Carbon_Monoxide,DRPA,0.06,0.855196258
air_quality_Carbon_Monoxide,DRPA,0.09,0.855196258
air_quality_Carbon_Monoxide,DRPA,0.12,0.81922675
air_quality_Carbon_Monoxide,DRPA,0.15,0.81922675
air_quality_Carbon_Monoxide,DRPA,0.18,0.783365571
air_quality_Carbon_Monoxide,DRPA,0.21,0.712007291
air_quality_Carbon_Monoxide,DRPA,0.24,0.67653277
air_quality_Carbon_Monoxide,DRPA,0.27,0.641212121
air_quality_Carbon_Monoxide,DRPA,0.3,0.648148148
air_quality_Carbon_Monoxide,DRPA,0.33,0.583333333
air_quality_Carbon_Monoxide,DRPA,0.36,0.58972332
air_quality_Carbon_Monoxide,DRPA,0.39,0.658402204
air_quality_Carbon_Monoxide,DRPA,0.42,0.570763335
air_quality_Carbon_Monoxide,DRPA,0.45,0.702479339
air_quality_Carbon_Monoxide,DRPA,0.48,0.652422077
air_quality_Carbon_Monoxide,DRPA,0.51,0.519881353
air_quality_Carbon_Monoxide,ROPA,0,1
air_quality_Carbon_Monoxide,ROPA,0.03,0.963674007
air_quality_Carbon_Monoxide,ROPA,0.06,0.855196258
air_quality_Carbon_Monoxide,ROPA,0.09,0.855196258
air_quality_Carbon_Monoxide,ROPA,0.12,0.81922675
air_quality_Carbon_Monoxide,ROPA,0.15,0.860990861
air_quality_Carbon_Monoxide,ROPA,0.18,0.936107688
air_quality_Carbon_Monoxide,ROPA,0.21,0.794178879
air_quality_Carbon_Monoxide,ROPA,0.24,0.870109434
air_quality_Carbon_Monoxide,ROPA,0.27,0.904910992
air_quality_Carbon_Monoxide,ROPA,0.3,0.969302636
air_quality_Carbon_Monoxide,ROPA,0.33,0.937780773
air_quality_Carbon_Monoxide,ROPA,0.36,0.937948613
air_quality_Carbon_Monoxide,ROPA,0.39,0.969378188
air_quality_Carbon_Monoxide,ROPA,0.42,0.969378188
air_quality_Carbon_Monoxide,ROPA,0.45,1
air_quality_Carbon_Monoxide,ROPA,0.48,1
air_quality_Carbon_Monoxide,ROPA,0.51,1
air_quality_gb-defra-index,DIPA,0,1
air_quality_gb-defra-index,DIPA,0.03,0.963674007
air_quality_gb-defra-index,DIPA,0.06,0.855196258
air_quality_gb-defra-index,DIPA,0.09,0.855196258
air_quality_gb-defra-index,DIPA,0.12,0.81922675
air_quality_gb-defra-index,DIPA,0.15,0.81922675
air_quality_gb-defra-index,DIPA,0.18,0.783365571
air_quality_gb-defra-index,DIPA,0.21,0.712007291
air_quality_gb-defra-index,DIPA,0.24,0.67653277
air_quality_gb-defra-index,DIPA,0.27,0.641212121
air_quality_gb-defra-index,DIPA,0.3,0.583333333
air_quality_gb-defra-index,DIPA,0.33,0.606060606
air_quality_gb-defra-index,DIPA,0.36,0.61312456
air_quality_gb-defra-index,DIPA,0.39,0.681503232
air_quality_gb-defra-index,DIPA,0.42,0.531680441
air_quality_gb-defra-index,DIPA,0.45,0.465778158
air_quality_gb-defra-index,DIPA,0.48,0.415488215
air_quality_gb-defra-index,DIPA,0.51,0.542424242
air_quality_gb-defra-index,DRPA,0,1
air_quality_gb-defra-index,DRPA,0.03,0.963674007
air_quality_gb-defra-index,DRPA,0.06,0.855196258
air_quality_gb-defra-index,DRPA,0.09,0.855196258
air_quality_gb-defra-index,DRPA,0.12,0.81922675
air_quality_gb-defra-index,DRPA,0.15,0.81922675
air_quality_gb-defra-index,DRPA,0.18,0.783365571
air_quality_gb-defra-index,DRPA,0.21,0.712007291
air_quality_gb-defra-index,DRPA,0.24,0.67653277
air_quality_gb-defra-index,DRPA,0.27,0.641212121
air_quality_gb-defra-index,DRPA,0.3,0.606060606
air_quality_gb-defra-index,DRPA,0.33,0.648148148
air_quality_gb-defra-index,DRPA,0.36,0.541803329
air_quality_gb-defra-index,DRPA,0.39,0.570763335
air_quality_gb-defra-index,DRPA,0.42,0.555176389
air_quality_gb-defra-index,DRPA,0.45,0.588855505
air_quality_gb-defra-index,DRPA,0.48,0.531819101
air_quality_gb-defra-index,DRPA,0.51,0.494875223
air_quality_gb-defra-index,ROPA,0,1
air_quality_gb-defra-index,ROPA,0.03,0.963674007
air_quality_gb-defra-index,ROPA,0.06,0.855196258
air_quality_gb-defra-index,ROPA,0.09,0.855196258
air_quality_gb-defra-index,ROPA,0.12,0.81922675
air_quality_gb-defra-index,ROPA,0.15,0.81922675
air_quality_gb-defra-index,ROPA,0.18,0.783365571
air_quality_gb-defra-index,ROPA,0.21,0.712007291
air_quality_gb-defra-index,ROPA,0.24,0.67653277
air_quality_gb-defra-index,ROPA,0.27,0.641212121
air_quality_gb-defra-index,ROPA,0.3,0.624467178
air_quality_gb-defra-index,ROPA,0.33,0.614004222
air_quality_gb-defra-index,ROPA,0.36,0.565953654
air_quality_gb-defra-index,ROPA,0.39,0.531680441
air_quality_gb-defra-index,ROPA,0.42,0.557558314
air_quality_gb-defra-index,ROPA,0.45,0.527316831
air_quality_gb-defra-index,ROPA,0.48,0.659259259
air_quality_gb-defra-index,ROPA,0.51,0.624145969
air_quality_Ozone,DIPA,0,1
air_quality_Ozone,DIPA,0.03,0.963674007
air_quality_Ozone,DIPA,0.06,0.855196258
air_quality_Ozone,DIPA,0.09,0.855196258
air_quality_Ozone,DIPA,0.12,0.81922675
air_quality_Ozone,DIPA,0.15,0.81922675
air_quality_Ozone,DIPA,0.18,0.783365571
air_quality_Ozone,DIPA,0.21,0.712007291
air_quality_Ozone,DIPA,0.24,0.67653277
air_quality_Ozone,DIPA,0.27,0.641212121
air_quality_Ozone,DIPA,0.3,0.606060606
air_quality_Ozone,DIPA,0.33,0.688710267
air_quality_Ozone,DIPA,0.36,0.58972332
air_quality_Ozone,DIPA,0.39,0.645611774
air_quality_Ozone,DIPA,0.42,0.696711545
air_quality_Ozone,DIPA,0.45,0.527316831
air_quality_Ozone,DIPA,0.48,0.631417666
air_quality_Ozone,DIPA,0.51,0.602693603
air_quality_Ozone,DRPA,0,1
air_quality_Ozone,DRPA,0.03,0.963674007
air_quality_Ozone,DRPA,0.06,0.855196258
air_quality_Ozone,DRPA,0.09,0.855196258
air_quality_Ozone,DRPA,0.12,0.81922675
air_quality_Ozone,DRPA,0.15,0.81922675
air_quality_Ozone,DRPA,0.18,0.783365571
air_quality_Ozone,DRPA,0.21,0.754132231
air_quality_Ozone,DRPA,0.24,0.67653277
air_quality_Ozone,DRPA,0.27,0.659381269
air_quality_Ozone,DRPA,0.3,0.648148148
air_quality_Ozone,DRPA,0.33,0.583333333
air_quality_Ozone,DRPA,0.36,0.61312456
air_quality_Ozone,DRPA,0.39,0.627651037
air_quality_Ozone,DRPA,0.42,0.627651037
air_quality_Ozone,DRPA,0.45,0.440551868
air_quality_Ozone,DRPA,0.48,0.556098621
air_quality_Ozone,DRPA,0.51,0.650328721
