temperature_celsius,date,attack_ratio,attacked_mode
-0.069154842,2024/9/23,0,DIPA
-0.174767015,2024/9/23,0.12,DIPA
-0.914929906,2024/9/23,0.28,DPPA
-0.15217927,2024/9/23,0.1,ROPA
0.06969456,2024/10/25,0,DIPA
0.04501487,2024/10/25,0.04,DIPA
0.089351106,2024/10/25,0.06,DPPA
-0.191301427,2024/10/25,0.1,ROPA
-0.068212167,2024/11/26,0,DIPA
-0.149285956,2024/11/26,0.15,DIPA
0.001286173,2024/11/26,0.18,DPPA
-0.035986166,2024/11/26,0.05,ROPA
-0.144012654,2024/12/28,0,DIPA
-0.161646005,2024/12/28,0.04,DIPA
-0.84973883,2024/12/28,0.35,DPPA
-0.117583985,2024/12/28,0.12,ROPA
-0.162740533,2025/1/29,0,DIPA
-0.211106331,2025/1/29,0.06,DIPA
-0.070787897,2025/1/29,0.12,DPPA
-0.497780945,2025/1/29,0.19,ROPA
