humidity,date,attack_ratio,attacked_mode
-0.106070939,2024/9/23,0,DIPA
-0.215358886,2024/9/23,0.172049,DIPA
-0.625218524,2024/9/23,0.832961,DPPA
0.075832393,2024/9/23,0.286377,ROPA
0.012710287,2024/10/25,0,DIPA
-0.103471511,2024/10/25,0.050882,DIPA
-1.059050197,2024/10/25,0.493262,DPPA
2.17639491,2024/10/25,0.994145,ROPA
0.056302302,2024/11/26,0,DIPA
0.050726222,2024/11/26,0.030919,DIPA
0.179950998,2024/11/26,0.687707,DPPA
0.023281944,2024/11/26,0.182939,ROPA
0.10622776,2024/12/28,0,DIPA
0.017152027,2024/12/28,0.113498,DIPA
0.444953112,2024/12/28,0.430263,DPPA
0.784877632,2024/12/28,0.864757,ROPA
0.091255696,2025/1/29,0,DIPA
-0.082572623,2025/1/29,0.373859,DIPA
-0.282361455,2025/1/29,0.80373,DPPA
-0.261817559,2025/1/29,0.759616,ROPA
