feels_like_celsius,date,attack_ratio,attacked_mode
-0.038372275,2024/9/23,0,DIPA
-0.025032511,2024/9/23,0.007671766,DIPA
-0.672856904,2024/9/23,0.364895337,DPPA
0.820590785,2024/9/23,0.493994025,ROPA
-0.001852361,2024/10/25,0,DIPA
-0.12023552,2024/10/25,0.068082757,DIPA
0.056036922,2024/10/25,0.033292421,DPPA
0.60711739,2024/10/25,0.350221601,ROPA
-0.089144451,2024/11/26,0,DIPA
-0.175427695,2024/11/26,0.049621932,DIPA
-0.191140425,2024/11/26,0.058658403,DPPA
-0.1081241,2024/11/26,0.010915292,ROPA
-0.142495336,2024/12/28,0,DIPA
-0.146000304,2024/12/28,0.002015725,DIPA
-0.918221866,2024/12/28,0.446124273,DPPA
0.210106622,2024/12/28,0.202783179,ROPA
-0.097984668,2025/1/29,0,DIPA
-0.160929351,2025/1/29,0.036199807,DIPA
-0.23856905,2025/1/29,0.080850793,DPPA
0.681898633,2025/1/29,0.448514853,ROPA
