pressure_mb,date,attack_ratio,attacked_mode
0.028132114,2024/9/23,0,DIPA
-0.01141985,2024/9/23,0.019775982,DIPA
-1.070958987,2024/9/23,0.54954555,DPPA
-0.266239433,2024/9/23,0.147185774,ROPA
-0.041811992,2024/10/25,0,DIPA
-0.126194497,2024/10/25,0.042191253,DIPA
0.420771045,2024/10/25,0.231291519,DPPA
-0.049612483,2024/10/25,0.003900246,ROPA
-0.03534884,2024/11/26,0,DIPA
-0.070345815,2024/11/26,0.017498487,DIPA
-0.077958369,2024/11/26,0.021304765,DPPA
-0.131618542,2024/11/26,0.048134851,ROPA
0.063103375,2024/12/28,0,DIPA
-0.027034783,2024/12/28,0.045069079,DIPA
0.107532707,2024/12/28,0.022214666,DPPA
0.071771178,2024/12/28,0.004333901,ROPA
0.063221578,2025/1/29,0,DIPA
-0.119976528,2025/1/29,0.091599053,DIPA
-0.136426968,2025/1/29,0.099824273,DPPA
-0.13995331,2025/1/29,0.101587444,ROPA
