air_quality_gb-defra-index_2,air_quality_gb-defra-index_4,air_quality_gb-defra-index_5,air_quality_gb-defra-index_6,air_quality_gb-defra-index_8,air_quality_gb-defra-index_9,air_quality_gb-defra-index_10,air_quality_gb-defra-index_3,air_quality_gb-defra-index_1,air_quality_gb-defra-index_7,date,attack_ratio,attacked_mode
0.261752045,0,0.009286731,0.034899154,0.100759671,0.060511577,0.049534825,0.214186116,0.26906988,0,2024-9-23,0,DIPA
0.265018518,0.009959501,0.006035516,0.006035516,0.057047319,0.084515214,0.068819274,0.2179307,0.284638443,0,2024-9-23,0,DIPA
0.304596654,0.009843622,0.009843622,0.002086963,0.056383574,0.040870257,0.060261904,0.211516749,0.304596654,0,2024-9-23,0.3,DPPA
0.227081308,0.057376456,0.017910211,0.06132308,0.057376456,0.120522447,0.065269705,0.128415696,0.238921181,0.02580346,2024-9-23,0.3,ROPA
0.159070926,0,0.037427395,0.045275365,0.01780747,0.037427395,0.135527017,0.261094534,0.233626639,0.072743259,2024-10-25,0,DIPA
0.150045405,0.033242524,0.048816241,0.060496529,0,0.048816241,0.111111111,0.231807422,0.200659987,0.11500454,2024-10-25,0.1,DIPA
0.113240958,0,0.036566477,0.090238614,0.036566477,0.097906062,0.128575854,0.201416611,0.232086403,0.063402545,2024-10-25,0.1,DPPA
0.104735949,0.088949452,0.021856836,0.088949452,0.049483207,0.033696709,0.163935316,0.183668439,0.171828565,0.092896076,2024-10-25,0.2,ROPA
0.173252141,0,0.047701897,0.032483686,0.070529214,0.028679133,0.230320433,0.161838482,0.241734092,0.013460922,2024-11-26,0,DIPA
0.116575823,0.179721814,0.049483207,0.017910211,0.045536582,0.136308945,0.077109578,0.132362321,0.112629198,0.132362321,2024-11-26,0.2,DIPA
0.192873128,0,0.029349094,0.025455665,0.103324252,0.017668806,0.169512552,0.18119284,0.262954857,0.017668806,2024-11-26,0.2,DPPA
0.077109578,0.132362321,0.088949452,0.057376456,0.049483207,0.069216329,0.159988692,0.136308945,0.207348185,0.021856836,2024-11-26,0.1,ROPA
0.10477019,0.093356531,0,0.13140206,0.070529214,0.040092792,0.192274905,0.177056693,0.169447588,0.021070028,2024-12-28,0,DIPA
0.155411922,0.074903717,0,0.078737441,0.036566477,0.08640489,0.117074682,0.155411922,0.109407234,0.186081715,2024-12-28,0.1,DIPA
0.207348185,0.057376456,0.021856836,0.081056203,0.163935316,0.037643334,0.167881941,0.088949452,0.159988692,0.013963587,2024-12-28,0.3,DPPA
0.097161084,0.089551978,0,0.127597507,0.074333767,0.036288239,0.19988401,0.169447588,0.173252141,0.032483686,2024-12-28,0.1,ROPA
0.152532651,0.024600927,0.073515998,0.145007256,0,0,0.201447722,0.212735816,0.190159629,0,2025-1-29,0,DIPA
0.092558624,0.088626336,0,0.104355488,0,0.143678368,0.12008464,0.112220064,0.241985569,0.096490912,2025-1-29,0.1,DIPA
0.139451002,0.02565544,0.060971304,0.115907093,0,0.002111531,0.221854685,0.174766866,0.249322579,0.009959501,2025-1-29,0.2,DPPA
0.162456557,0.093713068,0.01351233,0.124265729,0.002055082,0,0.173913805,0.120446647,0.269390873,0.040245909,2025-1-29,0.2,ROPA
